,how,many,muslims,came,from,around,the,world,to,fight,in,afghanistan,?
while,0.2918691337108612,0.3748262822628021,0.26552605628967285,0.24390414357185364,0.35008183121681213,0.3796277642250061,0.39804592728614807,0.22000740468502045,0.43899232149124146,0.26507991552352905,0.3399278521537781,0.17354030907154083,0.21076419949531555
the,0.33890387415885925,0.4335206151008606,0.2657718360424042,0.39390382170677185,0.40150508284568787,0.40085816383361816,1.0,0.33604270219802856,0.535392165184021,0.28874441981315613,0.6662389636039734,0.28314414620399475,0.22068053483963013
military,0.15955743193626404,0.26263177394866943,0.15632888674736023,0.160197913646698,0.19967688620090485,0.19323156774044037,0.2290858030319214,0.23378613591194153,0.2282337248325348,0.22882449626922607,0.2402431070804596,0.35833290219306946,0.1890317052602768
effectiveness,0.3724817931652069,0.28140053153038025,0.24551399052143097,0.1190502718091011,0.15749867260456085,0.16794203221797943,0.2544728219509125,0.15371854603290558,0.31169798970222473,0.20904895663261414,0.1857680082321167,0.1723829209804535,0.2115587443113327
of,0.2480744868516922,0.37253960967063904,0.22355489432811737,0.3201526999473572,0.4249346852302551,0.3296394646167755,0.733189046382904,0.2828933000564575,0.41548454761505127,0.20101141929626465,0.5696388483047485,0.2363988608121872,0.1826142966747284
these,0.41104358434677124,0.7077717185020447,0.26422223448753357,0.24194829165935516,0.2928802967071533,0.38657334446907043,0.49086877703666687,0.2827940285205841,0.46852558851242065,0.28578120470046997,0.3791837692260742,0.21136191487312317,0.2571668326854706
``,-0.01591024175286293,0.012824942357838154,0.14383342862129211,0.009134616702795029,0.02677825279533863,0.052384864538908005,0.029072100296616554,-0.0740956962108612,0.06720756739377975,0.05983923003077507,0.04765888676047325,0.15987719595432281,0.0685480609536171
afghan,0.17017237842082977,0.2001866102218628,0.3530362844467163,0.1364317387342453,0.14255806803703308,0.17260205745697021,0.24034889042377472,0.22826935350894928,0.18846796452999115,0.1872313767671585,0.17469824850559235,0.8001843690872192,0.10384320467710495
arabs,0.1539725363254547,0.26090648770332336,0.5204464197158813,0.31575775146484375,0.18308325111865997,0.29011496901512146,0.2739878296852112,0.20431174337863922,0.23400014638900757,0.258252888917923,0.1666572540998459,0.3933510482311249,0.12848976254463196
'',-0.0029843549709767103,-0.016843097284436226,-0.018748775124549866,0.06486699730157852,-0.011389154009521008,-0.025410326197743416,0.041273195296525955,-0.07833857089281082,-0.009905828163027763,-0.09271175414323807,0.07432962208986282,0.004211789462715387,0.018684765323996544
