,how,did,the,party,overthrow,the,elected,government,in,1989,?
after,0.23871733248233795,0.30330467224121094,0.4565047025680542,0.20269674062728882,0.28439363837242126,0.4565047025680542,0.24237331748008728,0.26047283411026,0.44050168991088867,-0.02076919935643673,0.16608688235282898
al-nimeiry,0.13455717265605927,0.16556331515312195,0.23174172639846802,0.2706109285354614,0.48290151357650757,0.23174172639846802,0.3134423494338989,0.29579290747642517,0.20516414940357208,0.18196038901805878,0.2566865086555481
was,0.16678167879581451,0.41399896144866943,0.48711544275283813,0.25508102774620056,0.232468843460083,0.48711544275283813,0.2710091769695282,0.2995857298374176,0.45514053106307983,0.06480737775564194,0.18412111699581146
overthrown,0.09603741019964218,0.2167377918958664,0.21934035420417786,0.3158644735813141,0.9441172480583191,0.21934035420417786,0.38640159368515015,0.45790576934814453,0.16733208298683167,0.05329377204179764,0.15845751762390137
in,0.2601168751716614,0.2593238651752472,0.6662389636039734,0.20446790754795074,0.1396016925573349,0.6662389636039734,0.21190309524536133,0.3066793978214264,1.0,0.006802527233958244,0.20430970191955566
1985,0.0524597242474556,0.07323421537876129,0.02310241386294365,0.06783387064933777,-0.03866454213857651,0.02310241386294365,0.056008532643318176,0.0653345063328743,0.015247007831931114,0.3150794804096222,-0.03005216084420681
the,0.33890387415885925,0.34736719727516174,1.0,0.23779736459255219,0.198907732963562,1.0,0.23167964816093445,0.31798112392425537,0.6662389636039734,-0.009533590637147427,0.22068053483963013
party,0.1578328013420105,0.1442001461982727,0.23779736459255219,0.9999999403953552,0.3137250542640686,0.23779736459255219,0.41326451301574707,0.41171973943710327,0.20446790754795074,0.07296901941299438,0.19031576812267303
did,0.375736802816391,1.0,0.34736719727516174,0.1442001461982727,0.24850817024707794,0.34736719727516174,0.19869562983512878,0.2792121469974518,0.2593238651752472,-0.03869108483195305,0.3023456633090973
poorly,0.3093982934951782,0.29876452684402466,0.23045407235622406,0.1196112111210823,0.06837496906518936,0.23045407235622406,0.06105371564626694,0.16045749187469482,0.23230920732021332,0.03131820634007454,0.20710419118404388
in,0.2601168751716614,0.2593238651752472,0.6662389636039734,0.20446790754795074,0.1396016925573349,0.6662389636039734,0.21190309524536133,0.3066793978214264,1.0,0.006802527233958244,0.20430970191955566
national,0.13248363137245178,0.17743784189224243,0.32739606499671936,0.2879488468170166,0.1292112022638321,0.32739606499671936,0.17893479764461517,0.29917800426483154,0.28915393352508545,0.06982181966304779,0.15643028914928436
elections,0.21181289851665497,0.22045423090457916,0.23646192252635956,0.5309614539146423,0.35525235533714294,0.23646192252635956,0.7334976196289062,0.4876851439476013,0.2604275643825531,-0.04809877276420593,0.2319818139076233
",",0.22659391164779663,0.3015086054801941,0.4933079481124878,0.21963930130004883,0.1673116236925125,0.4933079481124878,0.2476319521665573,0.27344048023223877,0.5201468467712402,0.16465967893600464,0.31091248989105225
but,0.43101516366004944,0.49033689498901367,0.4859698414802551,0.19923360645771027,0.2315894067287445,0.4859698414802551,0.19795142114162445,0.2775489091873169,0.48674455285072327,-0.12875285744667053,0.27921953797340393
in,0.2601168751716614,0.2593238651752472,0.6662389636039734,0.20446790754795074,0.1396016925573349,0.6662389636039734,0.21190309524536133,0.3066793978214264,1.0,0.006802527233958244,0.20430970191955566
1989,-0.12765748798847198,-0.03869108483195305,-0.009533590637147427,0.07296901941299438,-0.00892783235758543,-0.009533590637147427,0.03982038050889969,-0.01638154312968254,0.006802527233958244,1.0,0.08110656589269638
it,0.36714982986450195,0.2993364930152893,0.6251175999641418,0.20717155933380127,0.16997043788433075,0.6251175999641418,0.16520561277866364,0.28037968277931213,0.5130809545516968,-0.006629664916545153,0.25732165575027466
was,0.16678167879581451,0.41399896144866943,0.48711544275283813,0.25508102774620056,0.232468843460083,0.48711544275283813,0.2710091769695282,0.2995857298374176,0.45514053106307983,0.06480737775564194,0.18412111699581146
able,0.4865567088127136,0.43777281045913696,0.3435857892036438,0.11088059842586517,0.20619067549705505,0.3435857892036438,0.23464812338352203,0.19771192967891693,0.23456627130508423,-0.11362125724554062,0.260649710893631
to,0.44169697165489197,0.4452643394470215,0.535392165184021,0.1893671154975891,0.27134451270103455,0.535392165184021,0.21424545347690582,0.28343796730041504,0.45010748505592346,-0.14794839918613434,0.29463258385658264
overthrow,0.15386973321437836,0.24850817024707794,0.198907732963562,0.3137250542640686,1.0,0.198907732963562,0.3562427759170532,0.47894608974456787,0.1396016925573349,-0.00892783235758543,0.1537860929965973
the,0.33890387415885925,0.34736719727516174,1.0,0.23779736459255219,0.198907732963562,1.0,0.23167964816093445,0.31798112392425537,0.6662389636039734,-0.009533590637147427,0.22068053483963013
elected,0.15145733952522278,0.19869562983512878,0.23167964816093445,0.41326451301574707,0.3562427759170532,0.23167964816093445,0.9999999403953552,0.3878932595252991,0.21190309524536133,0.03982038050889969,0.1966295689344406
post-al-nimeiry,0.14823134243488312,0.21137452125549316,0.29093191027641296,0.30585405230522156,0.4695465564727783,0.29093191027641296,0.36180201172828674,0.3701817989349365,0.25388282537460327,0.17265671491622925,0.30018821358680725
