,a,forced,trade,agreement,between,two,countries,would,be,an,example,of,what,?
to,0.45503583550453186,0.3537954092025757,0.2781698405742645,0.2757699489593506,0.3639189600944519,0.3343428373336792,0.3111797273159027,0.5965728163719177,0.4972836375236511,0.3138085603713989,0.3451666533946991,0.41548454761505127,0.455847829580307,0.29463258385658264
clear,0.24375371634960175,0.15746667981147766,0.16817030310630798,0.30046412348747253,0.268037348985672,0.20665273070335388,0.1372155398130417,0.285062313079834,0.30344653129577637,0.20907902717590332,0.20241454243659973,0.25915294885635376,0.4239453375339508,0.2738020122051239
out,0.34264278411865234,0.3101345896720886,0.14683757722377777,0.20791001617908478,0.2655375897884369,0.2987716495990753,0.1957523673772812,0.37045037746429443,0.3626708686351776,0.2333006113767624,0.2541006803512573,0.34176841378211975,0.3633197546005249,0.22020699083805084
this,0.5422310829162598,0.23018012940883636,0.19465044140815735,0.2593045234680176,0.29040461778640747,0.33004114031791687,0.3181088864803314,0.47797831892967224,0.566177248954773,0.41881775856018066,0.4614826440811157,0.45148900151252747,0.5489566326141357,0.3155723512172699
confusion,0.2771179676055908,0.2322130650281906,0.1024448573589325,0.22628319263458252,0.18988995254039764,0.20836910605430603,0.20526492595672607,0.24687238037586212,0.3350122272968292,0.20599961280822754,0.33875125646591187,0.2222754955291748,0.3303605318069458,0.3015955984592438
about,0.34171196818351746,0.15076223015785217,0.15234264731407166,0.19859634339809418,0.38609597086906433,0.29597052931785583,0.21191194653511047,0.2849528193473816,0.26362910866737366,0.2700941264629364,0.3355368673801422,0.40939709544181824,0.47976887226104736,0.302409827709198
the,0.5829201340675354,0.2571122944355011,0.2681608200073242,0.2490699142217636,0.39067012071609497,0.43858039379119873,0.33290645480155945,0.4133751392364502,0.4248143136501312,0.4207492768764496,0.3755223751068115,0.733189046382904,0.42745697498321533,0.22068053483963013
definition,0.2941339910030365,0.10671035200357437,0.22168266773223877,0.2854617238044739,0.24731212854385376,0.15746432542800903,0.27511048316955566,0.27377018332481384,0.333861380815506,0.21560780704021454,0.4240194857120514,0.24912455677986145,0.330344021320343,0.2796523869037628
of,0.5052502155303955,0.27082350850105286,0.2310105711221695,0.21259461343288422,0.3737983703613281,0.37726253271102905,0.2800094783306122,0.3353942930698395,0.33904364705085754,0.32280945777893066,0.3570667505264282,1.0,0.33290785551071167,0.1826142966747284
imperialism,0.17335295677185059,0.18384823203086853,0.30227598547935486,0.22363732755184174,0.17138710618019104,0.13879907131195068,0.331497460603714,0.23777715861797333,0.15657790005207062,0.14707738161087036,0.22554071247577667,0.29240643978118896,0.24614648520946503,0.14998586475849152
one,0.4910551905632019,0.16609205305576324,0.20174065232276917,0.2460959255695343,0.3030317425727844,0.6288198232650757,0.3113413453102112,0.38529840111732483,0.4154875874519348,0.2829729914665222,0.41499486565589905,0.4999135136604309,0.376489520072937,0.2673267424106598
could,0.3736826181411743,0.3414781093597412,0.20427033305168152,0.24557718634605408,0.2235213816165924,0.3010946810245514,0.265848845243454,0.8068214654922485,0.4791525900363922,0.24300263822078705,0.3105258345603943,0.29043012857437134,0.4188697934150696,0.3411986827850342
speak,0.2206171452999115,0.18431508541107178,0.11910349875688553,0.16040478646755219,0.11579848825931549,0.148166686296463,0.26135316491127014,0.2250860184431076,0.20446938276290894,0.10398297011852264,0.1269766092300415,0.2317851483821869,0.3106061816215515,0.2619509994983673
of,0.5052502155303955,0.27082350850105286,0.2310105711221695,0.21259461343288422,0.3737983703613281,0.37726253271102905,0.2800094783306122,0.3353942930698395,0.33904364705085754,0.32280945777893066,0.3570667505264282,1.0,0.33290785551071167,0.1826142966747284
``,0.07272057235240936,-0.0009061553282663226,-0.018402187153697014,0.1097528263926506,0.08136986941099167,0.07021170109510422,0.06715091317892075,0.08063928782939911,0.07670000940561295,0.03770720958709717,0.17130611836910248,0.06780257821083069,0.008517155423760414,0.0685480609536171
formal,0.29366669058799744,0.20454056560993195,0.1515064686536789,0.30469515919685364,0.21839439868927002,0.21857839822769165,0.3142836093902588,0.2669815123081207,0.2562829256057739,0.24771077930927277,0.31238067150115967,0.2704104781150818,0.26485171914100647,0.1989586055278778
'',0.04890415817499161,-0.09327959269285202,0.009646755643188953,0.05314817652106285,0.060806289315223694,-0.004284570459276438,0.07233493775129318,0.02574172429740429,0.08835477381944656,0.09471100568771362,-0.021546287462115288,0.13035868108272552,0.08143015950918198,0.018684765323996544
and,0.3739250600337982,0.28385210037231445,0.2510223686695099,0.22375741600990295,0.40645647048950195,0.4671151638031006,0.37200918793678284,0.34921059012413025,0.41766801476478577,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.31309178471565247,0.20544172823429108
``,0.07272057235240936,-0.0009061553282663226,-0.018402187153697014,0.1097528263926506,0.08136986941099167,0.07021170109510422,0.06715091317892075,0.08063928782939911,0.07670000940561295,0.03770720958709717,0.17130611836910248,0.06780257821083069,0.008517155423760414,0.0685480609536171
informal,0.281781941652298,0.09788787364959717,0.20440304279327393,0.2765892744064331,0.13927961885929108,0.21113263070583344,0.2453494668006897,0.2546933889389038,0.2722707986831665,0.24982379376888275,0.25239047408103943,0.2598820626735687,0.31096258759498596,0.17082542181015015
'',0.04890415817499161,-0.09327959269285202,0.009646755643188953,0.05314817652106285,0.060806289315223694,-0.004284570459276438,0.07233493775129318,0.02574172429740429,0.08835477381944656,0.09471100568771362,-0.021546287462115288,0.13035868108272552,0.08143015950918198,0.018684765323996544
imperialism,0.17335295677185059,0.18384823203086853,0.30227598547935486,0.22363732755184174,0.17138710618019104,0.13879907131195068,0.331497460603714,0.23777715861797333,0.15657790005207062,0.14707738161087036,0.22554071247577667,0.29240643978118896,0.24614648520946503,0.14998586475849152
",",0.427140474319458,0.2527396082878113,0.1945054978132248,0.23435252904891968,0.27714940905570984,0.35859420895576477,0.2966555655002594,0.32586824893951416,0.39254459738731384,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.3087472915649414,0.31091248989105225
the,0.5829201340675354,0.2571122944355011,0.2681608200073242,0.2490699142217636,0.39067012071609497,0.43858039379119873,0.33290645480155945,0.4133751392364502,0.4248143136501312,0.4207492768764496,0.3755223751068115,0.733189046382904,0.42745697498321533,0.22068053483963013
