,imperialism,is,confused,with,what,other,term,?
the,0.2716025412082672,0.5823672413825989,0.26122042536735535,0.4223487675189972,0.42745697498321533,0.44152235984802246,0.2740369141101837,0.22068053483963013
term,0.20526054501533508,0.270183801651001,0.2776253819465637,0.18053050339221954,0.25282326340675354,0.24595949053764343,1.0,0.1901002675294876
``,0.050459738820791245,0.058766357600688934,0.067348413169384,0.08974023163318634,0.008517155423760414,0.10245004296302795,0.11803510040044785,0.0685480609536171
imperialism,1.0,0.13894762098789215,0.16112163662910461,0.16891896724700928,0.24614648520946503,0.19548238813877106,0.20526054501533508,0.14998586475849152
'',-0.013202380388975143,0.0793738141655922,0.05671697482466698,0.07907696813344955,0.08143015950918198,0.021007593721151352,0.13619764149188995,0.018684765323996544
is,0.13894762098789215,1.0,0.3364868462085724,0.3250955045223236,0.28837618231773376,0.25895947217941284,0.270183801651001,0.22961433231830597
often,0.239182248711586,0.3856629431247711,0.4012671113014221,0.41081544756889343,0.3849453330039978,0.4479043185710907,0.39294636249542236,0.23748154938220978
conflated,0.19806241989135742,0.259505957365036,0.3434262275695801,0.30072399973869324,0.247758686542511,0.29788708686828613,0.1719970405101776,0.2561269998550415
with,0.16891896724700928,0.3250955045223236,0.287232369184494,0.9999999403953552,0.2464839518070221,0.44086363911628723,0.18053050339221954,0.2433311939239502
``,0.050459738820791245,0.058766357600688934,0.067348413169384,0.08974023163318634,0.008517155423760414,0.10245004296302795,0.11803510040044785,0.0685480609536171
colonialism,0.6857813596725464,0.15186980366706848,0.1608065515756607,0.13810612261295319,0.27914220094680786,0.23627415299415588,0.28905189037323,0.1519109606742859
'',-0.013202380388975143,0.0793738141655922,0.05671697482466698,0.07907696813344955,0.08143015950918198,0.021007593721151352,0.13619764149188995,0.018684765323996544
",",0.2420617640018463,0.4691906273365021,0.3220633864402771,0.4120737314224243,0.3087472915649414,0.4446498453617096,0.21599270403385162,0.31091248989105225
however,0.28847217559814453,0.33769986033439636,0.341874361038208,0.44603243470191956,0.4480680823326111,0.4558732807636261,0.3404300808906555,0.2152075469493866
many,0.2443603277206421,0.2649032473564148,0.21068254113197327,0.35744401812553406,0.36131182312965393,0.6324484348297119,0.22119450569152832,0.2124512493610382
scholars,0.30682939291000366,0.18092486262321472,0.10732871294021606,0.12520284950733185,0.2640625238418579,0.19891057908535004,0.23025020956993103,0.11279910802841187
have,0.1434110701084137,0.3613572418689728,0.2676258683204651,0.48046383261680603,0.39808809757232666,0.559082567691803,0.24443839490413666,0.32991164922714233
argued,0.3190379738807678,0.08507123589515686,0.191871777176857,0.20361986756324768,0.31776854395866394,0.19940726459026337,0.20934560894966125,0.18905270099639893
that,0.23209288716316223,0.3995479643344879,0.297991007566452,0.4154358208179474,0.6297725439071655,0.5570666193962097,0.2833994925022125,0.32716336846351624
each,0.13438835740089417,0.2954041659832001,0.20763824880123138,0.4100050628185272,0.3353266417980194,0.5260580778121948,0.18035899102687836,0.21173812448978424
have,0.1434110701084137,0.3613572418689728,0.2676258683204651,0.48046383261680603,0.39808809757232666,0.559082567691803,0.24443839490413666,0.32991164922714233
their,0.19113652408123016,0.2101074606180191,0.14569240808486938,0.4258328378200531,0.35142919421195984,0.456295371055603,0.18210019171237946,0.1898253709077835
own,0.19862590730190277,0.2145606279373169,0.1521686613559723,0.290842205286026,0.35062843561172485,0.3725730776786804,0.07638253271579742,0.1937696635723114
distinct,0.17699480056762695,0.23772971332073212,0.27651357650756836,0.2714834213256836,0.2610252797603607,0.37570908665657043,0.3378733694553375,0.09523114562034607
definition,0.2697836458683014,0.29006320238113403,0.22712616622447968,0.16454635560512543,0.330344021320343,0.2703663408756256,0.46864309906959534,0.2796523869037628
.,0.22279119491577148,0.4569662809371948,0.2512573003768921,0.4446153938770294,0.3567904531955719,0.41511186957359314,0.18456575274467468,0.4130953550338745
