,according,to,certain,geographical,theories,what,type,of,human,does,a,tropical,climate,produce,?
geographical,0.33517295122146606,0.2409864366054535,0.2695799469947815,0.9999998807907104,0.26317211985588074,0.2645968794822693,0.098786361515522,0.3368765115737915,0.20282518863677979,0.211276113986969,0.2406260073184967,0.2904696762561798,0.3860911726951599,0.1385476291179657,0.1692802608013153
theories,0.255825936794281,0.21480143070220947,0.3095153570175171,0.26317211985588074,1.0000001192092896,0.3363492488861084,0.17708389461040497,0.25074607133865356,0.29686933755874634,0.206510990858078,0.19848357141017914,0.09771375358104706,0.20605547726154327,0.15080192685127258,0.21320602297782898
such,0.14878541231155396,0.2871878743171692,0.48051917552948,0.2036651074886322,0.27826642990112305,0.23989605903625488,0.2636772096157074,0.3209529519081116,0.2557939291000366,0.2787191867828369,0.2706976532936096,0.19840604066848755,0.13894928991794586,0.29612526297569275,0.17851735651493073
as,0.24795791506767273,0.42092081904411316,0.33222660422325134,0.22378993034362793,0.20168812572956085,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.24055932462215424,0.31202155351638794,0.39550232887268066,0.20472463965415955,0.2189137190580368,0.26654115319252014,0.27043893933296204
environmental,0.24525398015975952,0.22996102273464203,0.291689395904541,0.32064250111579895,0.29249224066734314,0.16198831796646118,0.10449765622615814,0.29166820645332336,0.3838781714439392,0.1984974592924118,0.22703608870506287,0.2094910740852356,0.42764484882354736,0.25800734758377075,0.19728143513202667
determinism,0.3235483169555664,0.30851998925209045,0.4671204090118408,0.32886022329330444,0.47865769267082214,0.404575914144516,0.21226413547992706,0.2853582501411438,0.36439451575279236,0.36643290519714355,0.3134007751941681,0.19644111394882202,0.21582676470279694,0.23646506667137146,0.30780893564224243
also,0.27162909507751465,0.5348826050758362,0.48111942410469055,0.22470566630363464,0.2739749848842621,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.23273280262947083,0.4118025600910187,0.5149940252304077,0.17179980874061584,0.23545971512794495,0.31644847989082336,0.21848613023757935
suggested,0.3286680281162262,0.32327648997306824,0.32208365201950073,0.2382650226354599,0.3969685137271881,0.30050885677337646,0.18853555619716644,0.29373469948768616,0.21431149542331696,0.2637547552585602,0.2665110230445862,0.14634352922439575,0.1955677717924118,0.12861615419387817,0.2549840807914734
that,0.29146862030029297,0.5436353087425232,0.5381532907485962,0.25510987639427185,0.39760348200798035,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.3200635015964508,0.4764937460422516,0.47537946701049805,0.2084600031375885,0.22277899086475372,0.3393034040927887,0.32716336846351624
tropical,0.19142267107963562,0.19421429932117462,0.16115835309028625,0.2904696762561798,0.09771375358104706,0.204971045255661,0.14161665737628937,0.18125450611114502,0.18762627243995667,0.12278344482183456,0.1662987321615219,1.0,0.37714511156082153,0.19778290390968323,0.16629411280155182
