,what,were,blank,spaces,used,for,on,nineteenth-century,maps,?
during,0.24137552082538605,0.4064035415649414,0.07808959484100342,0.11789415031671524,0.2677379846572876,0.3448435664176941,0.3347817361354828,0.40776458382606506,0.16329975426197052,0.1325719803571701
his,0.26976513862609863,0.3142043352127075,0.19548621773719788,0.09947396069765091,0.20492680370807648,0.39312878251075745,0.32064297795295715,0.33018970489501953,0.13111719489097595,0.18075084686279297
analysis,0.2842639982700348,0.1901683509349823,0.11954387277364731,0.16197259724140167,0.2083756923675537,0.25886523723602295,0.1807575523853302,0.22742538154125214,0.2496204376220703,0.15352053940296173
of,0.33290785551071167,0.34038281440734863,0.23039531707763672,0.1932010054588318,0.3075267970561981,0.4185989499092102,0.3966929316520691,0.28021499514579773,0.20939844846725464,0.1826142966747284
nineteenth-century,0.2100762575864792,0.36771079897880554,0.1538117527961731,0.18887071311473846,0.2633999288082123,0.21003931760787964,0.16123314201831818,1.0000001192092896,0.14935824275016785,0.12242254614830017
cartographic,0.15486185252666473,0.19484055042266846,0.28848350048065186,0.23288029432296753,0.32382795214653015,0.24409078061580658,0.1683255136013031,0.28981640934944153,0.4994938373565674,0.13701729476451874
techniques,0.19165433943271637,0.19044029712677002,0.0763813927769661,0.21487435698509216,0.4199719727039337,0.2726626396179199,0.1864301860332489,0.22495420277118683,0.20652161538600922,0.1533757448196411
",",0.3087472915649414,0.36755475401878357,0.21322311460971832,0.23565249145030975,0.3120402991771698,0.4464869201183319,0.49057599902153015,0.27755460143089294,0.1900794804096222,0.31091248989105225
he,0.3114890456199646,0.31267037987709045,0.13374122977256775,0.11502688378095627,0.17024852335453033,0.4540175199508667,0.32403138279914856,0.26920273900032043,0.12170182168483734,0.2089974731206894
highlights,0.23293812572956085,0.13762572407722473,0.2084369659423828,0.19451870024204254,0.2014637589454651,0.2759867310523987,0.2359773814678192,0.177800253033638,0.331474632024765,0.17713455855846405
the,0.42745697498321533,0.3906462490558624,0.25045424699783325,0.21970577538013458,0.3718377649784088,0.4739971458911896,0.5107308030128479,0.38542690873146057,0.21223653852939606,0.22068053483963013
use,0.3453877568244934,0.26967236399650574,0.25194570422172546,0.3509255349636078,0.7127541303634644,0.47655582427978516,0.2776605486869812,0.18897026777267456,0.249414324760437,0.32795652747154236
of,0.33290785551071167,0.34038281440734863,0.23039531707763672,0.1932010054588318,0.3075267970561981,0.4185989499092102,0.3966929316520691,0.28021499514579773,0.20939844846725464,0.1826142966747284
blank,0.2176256626844406,0.1362205147743225,1.0000001192092896,0.28960368037223816,0.15860866010189056,0.2519960403442383,0.15891823172569275,0.1538117527961731,0.22125057876110077,0.21930930018424988
space,0.20525942742824554,0.15497688949108124,0.24319331347942352,0.6239413619041443,0.18470054864883423,0.24232043325901031,0.15890881419181824,0.17059846222400665,0.193624809384346,0.1885536164045334
to,0.455847829580307,0.31913647055625916,0.2217026799917221,0.21541902422904968,0.40058770775794983,0.4451248347759247,0.41031414270401,0.24242883920669556,0.19708162546157837,0.29463258385658264
denote,0.2585914134979248,0.20330817997455597,0.25920069217681885,0.35117167234420776,0.36308592557907104,0.25733789801597595,0.16328316926956177,0.2037229686975479,0.2019699215888977,0.2174435704946518
unknown,0.2441980093717575,0.19986474514007568,0.22086286544799805,0.09602287411689758,0.179324209690094,0.20547941327095032,0.2316989302635193,0.1673627346754074,0.15673652291297913,0.22083927690982819
or,0.33867141604423523,0.3389680087566376,0.24554003775119781,0.3803934156894684,0.4951852560043335,0.4111599624156952,0.2897229492664337,0.1999489665031433,0.15129506587982178,0.32389625906944275
unexplored,0.2668616473674774,0.2582547962665558,0.17542655766010284,0.2518186867237091,0.19445066154003143,0.212325319647789,0.27364328503608704,0.34237369894981384,0.32331544160842896,0.17081645131111145
territory,0.21338070929050446,0.22731244564056396,0.18981175124645233,0.08572527766227722,0.14427430927753448,0.18686886131763458,0.15374188125133514,0.2537898123264313,0.2441772073507309,0.09435105323791504
.,0.3567904531955719,0.3378238379955292,0.20882122218608856,0.21357879042625427,0.33111312985420227,0.4726039469242096,0.49257001280784607,0.29634931683540344,0.17996174097061157,0.4130953550338745
