,which,american,show,changed,the,views,of,romanians,during,the,cold,war,?
for,0.44095608592033386,0.2306184321641922,0.3141973614692688,0.2722912132740021,0.4739971458911896,0.1863105595111847,0.4185989499092102,0.1774125099182129,0.3448435664176941,0.4739971458911896,0.18729542195796967,0.22632956504821777,0.264628142118454
example,0.45943138003349304,0.20942997932434082,0.22486001253128052,0.22737154364585876,0.3755223751068115,0.1307327151298523,0.3570667505264282,0.13357344269752502,0.19390994310379028,0.3755223751068115,0.19069157540798187,0.22234193980693817,0.30374911427497864
",",0.3658004403114319,0.3048616647720337,0.31928569078445435,0.3335177004337311,0.4933079481124878,0.2727104723453522,0.4946078956127167,0.2585633099079132,0.3225448727607727,0.4933079481124878,0.2868689298629761,0.2671184241771698,0.31091248989105225
depictions,0.2804599106311798,0.19917424023151398,0.29569923877716064,0.1576293259859085,0.2684508264064789,0.32796379923820496,0.2799503803253174,0.1421051025390625,0.26158422231674194,0.2684508264064789,0.1050722673535347,0.19441711902618408,0.14728380739688873
of,0.5011631846427917,0.22180068492889404,0.21383242309093475,0.3099449872970581,0.733189046382904,0.1923438459634781,1.0,0.20997761189937592,0.3869180977344513,0.733189046382904,0.22852186858654022,0.31680163741111755,0.1826142966747284
opulent,0.40786212682724,0.13984648883342743,0.22194980084896088,0.21242362260818481,0.3129969835281372,0.35136833786964417,0.3461063504219055,0.24746695160865784,0.2791309952735901,0.3129969835281372,0.1910581886768341,0.19188790023326874,0.15056036412715912
american,0.16603466868400574,1.0000001192092896,0.24534088373184204,0.15329107642173767,0.24562937021255493,0.12374749034643173,0.22180068492889404,0.14400631189346313,0.24281510710716248,0.24562937021255493,0.17205074429512024,0.2592540383338928,0.18877598643302917
lifestyles,0.2846704423427582,0.2152388095855713,0.32389119267463684,0.2762555778026581,0.26945510506629944,0.27132877707481384,0.2521857023239136,0.1319238245487213,0.26875942945480347,0.26945510506629944,0.22619321942329407,0.10619465261697769,0.2018781453371048
in,0.4840516746044159,0.22871561348438263,0.27595704793930054,0.292167991399765,0.6662389636039734,0.18003326654434204,0.5696388483047485,0.22682398557662964,0.4627237319946289,0.6662389636039734,0.24527457356452942,0.29904094338417053,0.20430970191955566
the,0.6521818041801453,0.24562937021255493,0.319829523563385,0.351829469203949,1.0,0.23137402534484863,0.733189046382904,0.24493135511875153,0.4838213622570038,1.0,0.2897129952907562,0.366199791431427,0.22068053483963013
soap,0.20322954654693604,0.1455695480108261,0.28129929304122925,0.14670978486537933,0.19385820627212524,0.08693871647119522,0.20267286896705627,0.20353414118289948,0.14858154952526093,0.19385820627212524,0.1899181604385376,0.18241877853870392,0.1800997406244278
opera,0.2053554803133011,0.15859873592853546,0.2478116750717163,0.1745438575744629,0.21712259948253632,0.13264641165733337,0.2148524820804596,0.20215284824371338,0.1728048324584961,0.21712259948253632,0.0920550674200058,0.17935813963413239,0.12079104036092758
dallas,0.14416813850402832,0.3452434241771698,0.2639845609664917,0.11221347749233246,0.24097958207130432,0.10301988571882248,0.1840040534734726,0.16148550808429718,0.14191937446594238,0.24097958207130432,0.17371444404125214,0.15156283974647522,0.08995547145605087
during,0.3590145409107208,0.24281510710716248,0.2252446562051773,0.21111704409122467,0.4838213622570038,0.1976092904806137,0.3869180977344513,0.16141019761562347,1.0,0.4838213622570038,0.31616321206092834,0.4802435040473938,0.1325719803571701
the,0.6521818041801453,0.24562937021255493,0.319829523563385,0.351829469203949,1.0,0.23137402534484863,0.733189046382904,0.24493135511875153,0.4838213622570038,1.0,0.2897129952907562,0.366199791431427,0.22068053483963013
cold,0.21176378428936005,0.17205074429512024,0.1493443101644516,0.11514516174793243,0.2897129952907562,0.08924004435539246,0.22852186858654022,0.17426778376102448,0.31616321206092834,0.2897129952907562,1.0,0.3876534104347229,0.12272877991199493
war,0.2244700789451599,0.2592540383338928,0.13999536633491516,0.19048385322093964,0.366199791431427,0.1264529675245285,0.31680163741111755,0.2349683940410614,0.4802435040473938,0.366199791431427,0.3876534104347229,1.0000001192092896,0.15510529279708862
changed,0.3260992467403412,0.15329107642173767,0.25038573145866394,1.0,0.351829469203949,0.2507326006889343,0.3099449872970581,0.09898915141820908,0.21111704409122467,0.351829469203949,0.11514516174793243,0.19048385322093964,0.21123318374156952
the,0.6521818041801453,0.24562937021255493,0.319829523563385,0.351829469203949,1.0,0.23137402534484863,0.733189046382904,0.24493135511875153,0.4838213622570038,1.0,0.2897129952907562,0.366199791431427,0.22068053483963013
expectations,0.27380460500717163,0.16826504468917847,0.21878047287464142,0.10975191742181778,0.22843137383460999,0.3581312894821167,0.17444978654384613,0.20178577303886414,0.20130276679992676,0.22843137383460999,0.1990310400724411,0.19653759896755219,0.2724282741546631
of,0.5011631846427917,0.22180068492889404,0.21383242309093475,0.3099449872970581,0.733189046382904,0.1923438459634781,1.0,0.20997761189937592,0.3869180977344513,0.733189046382904,0.22852186858654022,0.31680163741111755,0.1826142966747284
romanians,0.19409070909023285,0.14400631189346313,0.13785763084888458,0.09898915141820908,0.24493135511875153,0.20397675037384033,0.20997761189937592,1.0000001192092896,0.16141019761562347,0.24493135511875153,0.17426778376102448,0.2349683940410614,0.18653808534145355
;,-0.01244901679456234,0.07995785772800446,0.04267780855298042,0.03973889723420143,0.09152708947658539,0.07381726801395416,0.054534342139959335,0.09592926502227783,0.04684014990925789,0.09152708947658539,0.0059262849390506744,0.048548635095357895,0.10349778085947037
a,0.56894451379776,0.22026167809963226,0.24886544048786163,0.2289808690547943,0.5829201340675354,0.19887466728687286,0.5052502155303955,0.20247429609298706,0.30341604351997375,0.5829201340675354,0.20269304513931274,0.2368277609348297,0.23916715383529663
more,0.4639437198638916,0.14813844859600067,0.21705856919288635,0.26468539237976074,0.39758381247520447,0.2673744857311249,0.30478984117507935,0.21937745809555054,0.2523808181285858,0.39758381247520447,0.20150841772556305,0.18915869295597076,0.27894994616508484
