,approximately,how,many,adherents,does,the,united,methodist,church,have,across,the,world,?
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.1907312124967575,0.35928019881248474,1.0,0.34367692470550537,0.21922016143798828,0.23846197128295898,0.40389683842658997,0.3816230297088623,1.0,0.33604270219802856,0.22068053483963013
united,0.20137132704257965,0.19034643471240997,0.2670816481113434,0.16714692115783691,0.1650896966457367,0.34367692470550537,1.0000001192092896,0.3283560872077942,0.19284281134605408,0.17950676381587982,0.25026658177375793,0.34367692470550537,0.3110230267047882,0.17266890406608582
methodist,0.17998993396759033,0.13229183852672577,0.21092453598976135,0.3031953275203705,0.13836076855659485,0.21922016143798828,0.3283560872077942,1.0,0.6119816899299622,0.17623618245124817,0.21349911391735077,0.21922016143798828,0.09401881694793701,0.1436992734670639
church,0.1467546969652176,0.10719848424196243,0.20546764135360718,0.29897746443748474,0.16385334730148315,0.23846197128295898,0.19284281134605408,0.6119816899299622,0.9999999403953552,0.14373023808002472,0.1845434606075287,0.23846197128295898,0.12442360818386078,0.18081501126289368
is,0.2724578380584717,0.22544461488723755,0.2649032473564148,0.2195126861333847,0.4403602182865143,0.5823672413825989,0.22408509254455566,0.14683330059051514,0.203276589512825,0.3613572418689728,0.21617691218852997,0.5823672413825989,0.24458536505699158,0.22961433231830597
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.1907312124967575,0.35928019881248474,1.0,0.34367692470550537,0.21922016143798828,0.23846197128295898,0.40389683842658997,0.3816230297088623,1.0,0.33604270219802856,0.22068053483963013
largest,0.3624786138534546,0.08743762224912643,0.23644231259822845,0.1604367196559906,0.18477381765842438,0.3757036626338959,0.2719666361808777,0.19862455129623413,0.1541421115398407,0.18489506840705872,0.2996161878108978,0.3757036626338959,0.344524085521698,0.12401245534420013
denomination,0.25681260228157043,0.13721029460430145,0.21010518074035645,0.41460537910461426,0.16432692110538483,0.26250898838043213,0.22201207280158997,0.5030563473701477,0.5308495759963989,0.22188784182071686,0.2152649462223053,0.26250898838043213,0.18026265501976013,0.2643771171569824
within,0.3509974181652069,0.24755704402923584,0.2613624930381775,0.3269798159599304,0.29514265060424805,0.39827480912208557,0.24872973561286926,0.2349887490272522,0.17566072940826416,0.32346946001052856,0.34953370690345764,0.39827480912208557,0.17563968896865845,0.1870293766260147
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.1907312124967575,0.35928019881248474,1.0,0.34367692470550537,0.21922016143798828,0.23846197128295898,0.40389683842658997,0.3816230297088623,1.0,0.33604270219802856,0.22068053483963013
wider,0.2309335619211197,0.29582008719444275,0.28034618496894836,0.24436905980110168,0.27442461252212524,0.3782990276813507,0.17647941410541534,0.1638239622116089,0.14134392142295837,0.3133358657360077,0.4040767550468445,0.3782990276813507,0.17631842195987701,0.20532488822937012
methodist,0.17998993396759033,0.13229183852672577,0.21092453598976135,0.3031953275203705,0.13836076855659485,0.21922016143798828,0.3283560872077942,1.0,0.6119816899299622,0.17623618245124817,0.21349911391735077,0.21922016143798828,0.09401881694793701,0.1436992734670639
movement,0.12424909323453903,0.2090272754430771,0.24651534855365753,0.34057432413101196,0.17228825390338898,0.339571475982666,0.15926331281661987,0.28493544459342957,0.2679787874221802,0.19237689673900604,0.23455151915550232,0.339571475982666,0.20576640963554382,0.1423349231481552
",",0.3057648837566376,0.22659391164779663,0.40610817074775696,0.25550103187561035,0.28617382049560547,0.4933079481124878,0.3053959608078003,0.2960420250892639,0.2707274258136749,0.3541618287563324,0.22515052556991577,0.4933079481124878,0.26091980934143066,0.31091248989105225
which,0.3551456928253174,0.4852597713470459,0.5168171525001526,0.29756325483322144,0.39111801981925964,0.6521818041801453,0.2821946144104004,0.16454297304153442,0.20821009576320648,0.49652695655822754,0.3903377950191498,0.6521818041801453,0.29213306307792664,0.25814583897590637
has,0.29600146412849426,0.26820555329322815,0.4266262650489807,0.13379773497581482,0.42885294556617737,0.4177538752555847,0.17934498190879822,0.18049748241901398,0.19444791972637177,0.6353569626808167,0.2821457087993622,0.4177538752555847,0.21706144511699677,0.15994466841220856
approximately,1.0,0.17167454957962036,0.2855706214904785,0.22556397318840027,0.16432708501815796,0.33137547969818115,0.20137132704257965,0.17998993396759033,0.1467546969652176,0.2647372782230377,0.31855425238609314,0.33137547969818115,0.2201811820268631,0.10237617790699005
80,0.0632549375295639,0.07793577015399933,-0.0329921618103981,0.01906506158411503,0.12211814522743225,0.003630283521488309,-0.011501815170049667,-0.04945727437734604,-0.054827090352773666,0.1846046894788742,-0.004480901639908552,0.003630283521488309,-0.038609061390161514,0.04445207491517067
million,0.5136328339576721,0.21114659309387207,0.3520967364311218,0.1842333972454071,0.10680846869945526,0.277012437582016,0.24605627357959747,0.27891647815704346,0.19440792500972748,0.28469452261924744,0.25011640787124634,0.277012437582016,0.2656927704811096,0.23092924058437347
adherents,0.22556397318840027,0.2869018018245697,0.33263903856277466,1.0000001192092896,0.30256348848342896,0.1907312124967575,0.16714692115783691,0.3031953275203705,0.29897746443748474,0.3038090467453003,0.21035903692245483,0.1907312124967575,0.20765294134616852,0.24220485985279083
