,who,did,britain,exploit,in,india,?
the,0.3733934462070465,0.34736719727516174,0.29784059524536133,0.22193369269371033,0.6662389636039734,0.3108653426170349,0.22068053483963013
colonization,0.16765259206295013,0.16403597593307495,0.3384414315223694,0.4015275537967682,0.2681425213813782,0.2663927674293518,0.17553666234016418
of,0.2827862501144409,0.2513895630836487,0.28899943828582764,0.17942115664482117,0.5696388483047485,0.29747170209884644,0.1826142966747284
india,0.2292683869600296,0.17981284856796265,0.3439057171344757,0.1623651087284088,0.27070173621177673,1.0,0.10473668575286865
in,0.2792111933231354,0.2593238651752472,0.26246872544288635,0.2379988431930542,1.0,0.27070173621177673,0.20430970191955566
the,0.3733934462070465,0.34736719727516174,0.29784059524536133,0.22193369269371033,0.6662389636039734,0.3108653426170349,0.22068053483963013
mid-18th,0.21856708824634552,0.2104530781507492,0.27656182646751404,0.1850208342075348,0.3102942109107971,0.18171155452728271,0.07706829905509949
century,0.2990973889827728,0.2333737462759018,0.2561532258987427,0.1783462017774582,0.3174034655094147,0.2287505865097046,0.1026201918721199
offers,0.19148729741573334,0.20698288083076477,0.14793504774570465,0.29045331478118896,0.2064666599035263,0.12923796474933624,0.1211681216955185
an,0.2848317325115204,0.22598257660865784,0.15375836193561554,0.12482303380966187,0.2605783939361572,0.13356243073940277,0.19793890416622162
example,0.27006375789642334,0.2528466582298279,0.24405024945735931,0.26650628447532654,0.30483278632164,0.22343118488788605,0.30374911427497864
of,0.2827862501144409,0.2513895630836487,0.28899943828582764,0.17942115664482117,0.5696388483047485,0.29747170209884644,0.1826142966747284
this,0.3345087468624115,0.3609912693500519,0.2555267810821533,0.26335838437080383,0.45205554366111755,0.24712157249450684,0.3155723512172699
focus,0.14902952313423157,0.16827954351902008,0.17732302844524384,0.23983514308929443,0.27219411730766296,0.1147947832942009,0.23925252258777618
:,-0.0025186005514115095,-0.05305134505033493,-0.08777395635843277,-0.09671780467033386,0.020521078258752823,-0.07293426245450974,-0.07156077772378922
there,0.2844357192516327,0.29736605286598206,0.18956291675567627,0.22763334214687347,0.5361666083335876,0.1749316304922104,0.29405656456947327
",",0.3365725874900818,0.3015086054801941,0.26227492094039917,0.16206882894039154,0.5201468467712402,0.2621418535709381,0.31091248989105225
the,0.3733934462070465,0.34736719727516174,0.29784059524536133,0.22193369269371033,0.6662389636039734,0.3108653426170349,0.22068053483963013
``,0.02397952415049076,-0.029888948425650597,0.06588143110275269,-0.05929519981145859,0.04765888676047325,0.09327559918165207,0.0685480609536171
british,0.2666113078594208,0.2039594054222107,0.4846838712692261,0.1681167483329773,0.23084034025669098,0.3945082724094391,0.09711728990077972
exploited,0.23784586787223816,0.25861749053001404,0.18302591145038605,0.8842386603355408,0.23156961798667908,0.1531267762184143,0.1410878449678421
the,0.3733934462070465,0.34736719727516174,0.29784059524536133,0.22193369269371033,0.6662389636039734,0.3108653426170349,0.22068053483963013
political,0.24357503652572632,0.21022029221057892,0.2663593888282776,0.2514471411705017,0.22136160731315613,0.19711385667324066,0.17130474746227264
weakness,0.21675536036491394,0.25115659832954407,0.207825168967247,0.199551060795784,0.18577663600444794,0.13948506116867065,0.15925627946853638
of,0.2827862501144409,0.2513895630836487,0.28899943828582764,0.17942115664482117,0.5696388483047485,0.29747170209884644,0.1826142966747284
the,0.3733934462070465,0.34736719727516174,0.29784059524536133,0.22193369269371033,0.6662389636039734,0.3108653426170349,0.22068053483963013
mughal,0.16432198882102966,0.17003720998764038,0.28741395473480225,0.15135954320430756,0.1640848070383072,0.5376566052436829,0.1443050354719162
state,0.15636613965034485,0.152080237865448,0.20666150748729706,0.17695437371730804,0.33316072821617126,0.29512879252433777,0.1160883978009224
",",0.3365725874900818,0.3015086054801941,0.26227492094039917,0.16206882894039154,0.5201468467712402,0.2621418535709381,0.31091248989105225
and,0.41279885172843933,0.34479495882987976,0.3187123239040375,0.22058819234371185,0.4954058527946472,0.2782815098762512,0.20544172823429108
",",0.3365725874900818,0.3015086054801941,0.26227492094039917,0.16206882894039154,0.5201468467712402,0.2621418535709381,0.31091248989105225
while,0.4068111777305603,0.3330625295639038,0.18570709228515625,0.19888342916965485,0.3399278521537781,0.18303200602531433,0.21076419949531555
military,0.28924500942230225,0.17979979515075684,0.25329121947288513,0.20900636911392212,0.2402431070804596,0.23053912818431854,0.1890317052602768
activity,0.15222951769828796,0.15278087556362152,0.16887237131595612,0.3038598597049713,0.2278560847043991,0.10125762224197388,0.19043973088264465
was,0.3318818509578705,0.41399896144866943,0.27792006731033325,0.1980576068162918,0.45514053106307983,0.22117909789085388,0.18412111699581146
important,0.23735733330249786,0.22188524901866913,0.1934874951839447,0.24995295703411102,0.3796374499797821,0.20230931043624878,0.17812499403953552
at,0.22096660733222961,0.28390252590179443,0.24238549172878265,0.0646369680762291,0.4374977946281433,0.1740579903125763,0.21978627145290375
various,0.21537287533283234,0.19538888335227966,0.24198083579540253,0.26165610551834106,0.266343355178833,0.2553297281265259,0.12823495268821716
times,0.24510560929775238,0.23068773746490479,0.1696425825357437,0.1281837671995163,0.2427823841571808,0.1900179088115692,0.18880689144134521
",",0.3365725874900818,0.3015086054801941,0.26227492094039917,0.16206882894039154,0.5201468467712402,0.2621418535709381,0.31091248989105225
the,0.3733934462070465,0.34736719727516174,0.29784059524536133,0.22193369269371033,0.6662389636039734,0.3108653426170349,0.22068053483963013
economic,0.13431337475776672,0.14787930250167847,0.244276762008667,0.3332980275154114,0.22027181088924408,0.21343569457530975,0.1206481084227562
and,0.41279885172843933,0.34479495882987976,0.3187123239040375,0.22058819234371185,0.4954058527946472,0.2782815098762512,0.20544172823429108
administrative,0.11069393157958984,0.13005641102790833,0.14555728435516357,0.14874030649662018,0.2927289605140686,0.20732323825359344,0.15912041068077087
incorporation,0.12721306085586548,0.14533443748950958,0.21343296766281128,0.22659796476364136,0.24835017323493958,0.2438255101442337,0.18398575484752655
of,0.2827862501144409,0.2513895630836487,0.28899943828582764,0.17942115664482117,0.5696388483047485,0.29747170209884644,0.1826142966747284
local,0.20416545867919922,0.1319427639245987,0.20190493762493134,0.1605614572763443,0.2223825752735138,0.14539143443107605,0.15022775530815125
elites,0.32204121351242065,0.2425083965063095,0.25702154636383057,0.22124242782592773,0.11424774676561356,0.19173012673854828,0.1280139982700348
was,0.3318818509578705,0.41399896144866943,0.27792006731033325,0.1980576068162918,0.45514053106307983,0.22117909789085388,0.18412111699581146
also,0.47919341921806335,0.39334940910339355,0.28645533323287964,0.20793825387954712,0.5073733329772949,0.27483993768692017,0.21848613023757935
of,0.2827862501144409,0.2513895630836487,0.28899943828582764,0.17942115664482117,0.5696388483047485,0.29747170209884644,0.1826142966747284
crucial,0.16558511555194855,0.2320292890071869,0.16601760685443878,0.24889633059501648,0.2890273630619049,0.14880916476249695,0.18243193626403809
significance,0.13042545318603516,0.21771863102912903,0.18104635179042816,0.22159558534622192,0.3055461347103119,0.17992115020751953,0.22172628343105316
'',0.024401003494858742,0.01978493109345436,0.0028148393612354994,-0.009212254546582699,0.07432962208986282,-0.023029085248708725,0.018684765323996544
for,0.37110671401023865,0.318512886762619,0.22167551517486572,0.2312997728586197,0.4322226941585541,0.19895431399345398,0.264628142118454
the,0.3733934462070465,0.34736719727516174,0.29784059524536133,0.22193369269371033,0.6662389636039734,0.3108653426170349,0.22068053483963013
establishment,0.16982267796993256,0.20103003084659576,0.2595243453979492,0.20480915904045105,0.329694002866745,0.17986267805099487,0.1661023646593094
of,0.2827862501144409,0.2513895630836487,0.28899943828582764,0.17942115664482117,0.5696388483047485,0.29747170209884644,0.1826142966747284
control,0.23970051109790802,0.22942528128623962,0.22976474463939667,0.293518602848053,0.24831421673297882,0.23598700761795044,0.1620711386203766
over,0.316001296043396,0.2535076439380646,0.2731693983078003,0.14784181118011475,0.3605569899082184,0.26655113697052,0.25742942094802856
the,0.3733934462070465,0.34736719727516174,0.29784059524536133,0.22193369269371033,0.6662389636039734,0.3108653426170349,0.22068053483963013
subcontinent,0.24402637779712677,0.12455085664987564,0.3180423378944397,0.14493899047374725,0.30493366718292236,0.6113262176513672,0.17442241311073303
's,0.05599616840481758,0.05069678649306297,0.04469253867864609,0.04939449205994606,-0.037580832839012146,0.08424708992242813,-0.023395681753754616
resources,0.22842295467853546,0.19938795268535614,0.20688103139400482,0.4136825501918793,0.2161814570426941,0.16509656608104706,0.26047492027282715
",",0.3365725874900818,0.3015086054801941,0.26227492094039917,0.16206882894039154,0.5201468467712402,0.2621418535709381,0.31091248989105225
markets,0.07197538018226624,0.16989949345588684,0.25693240761756897,0.36214372515678406,0.2811138927936554,0.20350381731987,0.11209505051374435
",",0.3365725874900818,0.3015086054801941,0.26227492094039917,0.16206882894039154,0.5201468467712402,0.2621418535709381,0.31091248989105225
and,0.41279885172843933,0.34479495882987976,0.3187123239040375,0.22058819234371185,0.4954058527946472,0.2782815098762512,0.20544172823429108
manpower,0.3004007935523987,0.3270622193813324,0.2848200798034668,0.35001081228256226,0.18331855535507202,0.2745357155799866,0.3374505639076233
.,0.3541337847709656,0.35288307070732117,0.25750598311424255,0.15951523184776306,0.5591574311256409,0.29068249464035034,0.4130953550338745
