,which,regions,have,temperate,climates,?
these,0.5959210991859436,0.3454849123954773,0.6459943056106567,0.3012656569480896,0.3346824049949646,0.2571668326854706
scholars,0.19893908500671387,0.14972256124019623,0.26050499081611633,0.16324648261070251,0.23680375516414642,0.11279910802841187
believed,0.3179844319820404,0.14751867949962616,0.37452754378318787,0.19779455661773682,0.20834486186504364,0.17606885731220245
that,0.6894589066505432,0.22637471556663513,0.6182622313499451,0.22535839676856995,0.2968895435333252,0.32716336846351624
northern,0.2470913678407669,0.3885270953178406,0.1682901680469513,0.3683924376964569,0.22658437490463257,0.13149388134479523
europe,0.23978596925735474,0.33891239762306213,0.2433963268995285,0.31920379400253296,0.2915744185447693,0.18278923630714417
and,0.506277859210968,0.30318012833595276,0.4711785912513733,0.2789907157421112,0.29093411564826965,0.20544172823429108
the,0.6521818041801453,0.36158451437950134,0.40389683842658997,0.2662523686885834,0.2856043577194214,0.22068053483963013
mid-atlantic,0.3116086423397064,0.208745539188385,0.22939549386501312,0.34642836451530457,0.2769940197467804,0.13329289853572845
temperate,0.27961739897727966,0.42553815245628357,0.27378717064857483,1.0,0.6580596566200256,0.16631656885147095
climate,0.2627573609352112,0.3152238130569458,0.2120167762041092,0.5937181711196899,0.8397365808486938,0.19998492300510406
produced,0.36149924993515015,0.16178159415721893,0.19648082554340363,0.15564852952957153,0.2147086262702942,0.1623450517654419
a,0.56894451379776,0.21088102459907532,0.338716596364975,0.19916774332523346,0.2135205715894699,0.23916715383529663
hard-working,0.34845539927482605,0.09655562788248062,0.3451949656009674,0.23173612356185913,0.25645554065704346,0.22614668309688568
",",0.3658004403114319,0.26776278018951416,0.3541618287563324,0.24624596536159515,0.2207825779914856,0.31091248989105225
moral,0.23787805438041687,0.12140192091464996,0.20437315106391907,0.14483004808425903,0.17862436175346375,0.2608962953090668
",",0.3658004403114319,0.26776278018951416,0.3541618287563324,0.24624596536159515,0.2207825779914856,0.31091248989105225
and,0.506277859210968,0.30318012833595276,0.4711785912513733,0.2789907157421112,0.29093411564826965,0.20544172823429108
upstanding,0.34804677963256836,0.1590118259191513,0.33815160393714905,0.18843208253383636,0.1950785517692566,0.18427667021751404
human,0.3003762662410736,0.20882391929626465,0.2910007834434509,0.22099371254444122,0.2842629551887512,0.19748784601688385
being,0.4268448054790497,0.21514931321144104,0.47529760003089905,0.21189647912979126,0.2378624826669693,0.26743772625923157
.,0.45942068099975586,0.25618889927864075,0.41614407300949097,0.2694586217403412,0.21920685470104218,0.4130953550338745
