,what,happened,to,the,east,india,trading,company,in,1767,?
in,0.30808621644973755,0.3302023410797119,0.45010748505592346,0.6662389636039734,0.32659441232681274,0.27070173621177673,0.26132118701934814,0.22141718864440918,1.0,0.15572315454483032,0.20430970191955566
1767,0.07702143490314484,0.005596830043941736,0.08530859649181366,0.1633806973695755,0.2864101529121399,0.08877627551555634,0.07296836376190186,0.030020108446478844,0.15572315454483032,1.0,0.0780709832906723
political,0.21846716105937958,0.17271378636360168,0.2065112292766571,0.20477235317230225,0.177991583943367,0.19711385667324066,0.1899574100971222,0.10517367720603943,0.22136160731315613,0.09397877007722855,0.17130474746227264
activity,0.28365153074264526,0.29517313838005066,0.26676592230796814,0.28331097960472107,0.10491717606782913,0.10125762224197388,0.24039596319198608,0.09111375361680984,0.2278560847043991,0.11535818874835968,0.19043973088264465
caused,0.22264783084392548,0.4673246145248413,0.2414499819278717,0.24990202486515045,0.1781165450811386,0.17637191712856293,0.12563326954841614,0.12243413180112839,0.2494886964559555,0.050371963530778885,0.20679491758346558
exploitation,0.1492319405078888,0.20856206119060516,0.22115588188171387,0.21722403168678284,0.10977710038423538,0.21733061969280243,0.30567267537117004,0.22485773265361786,0.2712354362010956,0.17649246752262115,0.2030007243156433
of,0.33290785551071167,0.30501094460487366,0.41548454761505127,0.733189046382904,0.314786434173584,0.29747170209884644,0.23944026231765747,0.20467796921730042,0.5696388483047485,0.18476785719394684,0.1826142966747284
the,0.42745697498321533,0.3589572608470917,0.535392165184021,1.0,0.3383176326751709,0.3108653426170349,0.27514398097991943,0.26591673493385315,0.6662389636039734,0.1633806973695755,0.22068053483963013
east,0.19840149581432343,0.19889238476753235,0.24717837572097778,0.3383176326751709,1.0000001192092896,0.31207379698753357,0.2210814356803894,0.16379325091838837,0.32659441232681274,0.2864101529121399,0.10070597380399704
india,0.23203566670417786,0.18071357905864716,0.23679906129837036,0.3108653426170349,0.31207379698753357,1.0,0.2608002722263336,0.25443094968795776,0.27070173621177673,0.08877627551555634,0.10473668575286865
company,0.2333769053220749,0.14319799840450287,0.24903783202171326,0.26591673493385315,0.16379325091838837,0.25443094968795776,0.35280394554138184,1.0,0.22141718864440918,0.030020108446478844,0.12195809185504913
causing,0.24770919978618622,0.3829701840877533,0.32551613450050354,0.2816545367240906,0.1773706078529358,0.157491996884346,0.13871397078037262,0.12604928016662598,0.25844457745552063,0.030351705849170685,0.1852436512708664
the,0.42745697498321533,0.3589572608470917,0.535392165184021,1.0,0.3383176326751709,0.3108653426170349,0.27514398097991943,0.26591673493385315,0.6662389636039734,0.1633806973695755,0.22068053483963013
plundering,0.2671132981777191,0.25797706842422485,0.28676649928092957,0.28343576192855835,0.19975358247756958,0.25006774067878723,0.4391557276248932,0.25022435188293457,0.19137020409107208,0.052465274930000305,0.2439187467098236
of,0.33290785551071167,0.30501094460487366,0.41548454761505127,0.733189046382904,0.314786434173584,0.29747170209884644,0.23944026231765747,0.20467796921730042,0.5696388483047485,0.18476785719394684,0.1826142966747284
the,0.42745697498321533,0.3589572608470917,0.535392165184021,1.0,0.3383176326751709,0.3108653426170349,0.27514398097991943,0.26591673493385315,0.6662389636039734,0.1633806973695755,0.22068053483963013
local,0.18981902301311493,0.09048134088516235,0.2207600325345993,0.2130540907382965,0.18691591918468475,0.14539143443107605,0.1758124679327011,0.11011505126953125,0.2223825752735138,0.1750604212284088,0.15022775530815125
economy,0.21764783561229706,0.21032094955444336,0.2613506615161896,0.24644890427589417,0.25693970918655396,0.2181849181652069,0.32642117142677307,0.2235596477985382,0.2588731348514557,0.1690640151500702,0.11486924439668655
",",0.3087472915649414,0.3230119049549103,0.44245919585227966,0.4933079481124878,0.319791704416275,0.2621418535709381,0.21807542443275452,0.2697763442993164,0.5201468467712402,0.13822488486766815,0.31091248989105225
almost,0.2467888444662094,0.24934816360473633,0.2893180847167969,0.3341992199420929,0.19258546829223633,0.18330851197242737,0.1744762510061264,0.19581881165504456,0.3422279357910156,0.06587134301662445,0.1372147500514984
bringing,0.31787076592445374,0.26523324847221375,0.3548927307128906,0.34507453441619873,0.16070668399333954,0.18623535335063934,0.2535117566585541,0.1865679770708084,0.2420511394739151,-0.0043272590264678,0.24553225934505463
the,0.42745697498321533,0.3589572608470917,0.535392165184021,1.0,0.3383176326751709,0.3108653426170349,0.27514398097991943,0.26591673493385315,0.6662389636039734,0.1633806973695755,0.22068053483963013
company,0.2333769053220749,0.14319799840450287,0.24903783202171326,0.26591673493385315,0.16379325091838837,0.25443094968795776,0.35280394554138184,1.0,0.22141718864440918,0.030020108446478844,0.12195809185504913
into,0.2180619090795517,0.21834638714790344,0.38810545206069946,0.39493247866630554,0.22208081185817719,0.16795767843723297,0.14030368626117706,0.14657136797904968,0.38021373748779297,0.10110577195882797,0.15662476420402527
bankruptcy,0.18191947042942047,0.2083258479833603,0.2449604570865631,0.1715889275074005,0.13730518519878387,0.13040772080421448,0.2415577918291092,0.39152368903160095,0.19475995004177094,0.09305280447006226,0.1341087967157364
.,0.3567904531955719,0.29012542963027954,0.4645031690597534,0.5934505462646484,0.28351864218711853,0.29068249464035034,0.21561670303344727,0.266353577375412,0.5591574311256409,0.1661282330751419,0.4130953550338745
