,who,was,one,man,who,joined,hands,and,said,``,lord,of,the,church,",",we,are,united,in,thee,...,?,''
on,0.2340552806854248,0.3909217119216919,0.3601475656032562,0.2439323514699936,0.2340552806854248,0.2652397155761719,0.24878622591495514,0.4077630043029785,0.3034963011741638,-0.03274054825305939,0.1183229386806488,0.3966929316520691,0.5107308030128479,0.1726921796798706,0.49057599902153015,0.271835595369339,0.268924742937088,0.2703288793563843,0.46853652596473694,0.1450333297252655,-0.04269740730524063,0.2714994251728058,0.04238596186041832
april,0.2566681504249573,0.42695382237434387,0.2190690040588379,0.14459310472011566,0.2566681504249573,0.20261678099632263,0.13867895305156708,0.26820316910743713,0.27875766158103943,0.0339701771736145,0.12968583405017853,0.18706536293029785,0.23232673108577728,0.18293893337249756,0.4403347671031952,0.15009117126464844,0.08702158182859421,0.22790849208831787,0.2882915735244751,0.12443973869085312,0.021279538050293922,0.25704094767570496,-0.03499195724725723
23,0.014098330400884151,-0.04668274149298668,-0.06595703214406967,-0.07842572778463364,0.014098330400884151,-0.0628298968076706,0.009455549530684948,-0.1634809523820877,-0.019930513575673103,0.010545081458985806,-0.0286849495023489,-0.01973372884094715,-0.04008803516626358,0.045694272965192795,-0.09785310178995132,-0.027924396097660065,-0.03363651782274246,-0.030353549867868423,-0.00097907695453614,-0.003800713922828436,0.022247424349188805,0.012076443061232567,-0.09508837014436722
",",0.3365725874900818,0.45456063747406006,0.3696635365486145,0.26654794812202454,0.3365725874900818,0.23146051168441772,0.2761915624141693,0.6633074283599854,0.34496036171913147,0.09681109338998795,0.23110952973365784,0.4946078956127167,0.4933079481124878,0.2707274258136749,1.0000001192092896,0.2699093222618103,0.4062570035457611,0.3053959608078003,0.5201468467712402,0.23680254817008972,0.113417848944664,0.31091248989105225,-0.037358131259679794
1968,-0.017259184271097183,0.07066072523593903,0.003722089109942317,-0.012847351841628551,-0.017259184271097183,-0.03455130010843277,0.08063696324825287,0.06726996600627899,0.02299109846353531,-0.004498135298490524,0.0765049010515213,0.09872698038816452,0.07431387901306152,0.13306410610675812,0.07405266165733337,-0.006869649048894644,0.08355620503425598,0.08461511880159378,0.08920387923717499,0.022632410749793053,0.06904277950525284,-0.08543776720762253,-0.019257843494415283
",",0.3365725874900818,0.45456063747406006,0.3696635365486145,0.26654794812202454,0.3365725874900818,0.23146051168441772,0.2761915624141693,0.6633074283599854,0.34496036171913147,0.09681109338998795,0.23110952973365784,0.4946078956127167,0.4933079481124878,0.2707274258136749,1.0000001192092896,0.2699093222618103,0.4062570035457611,0.3053959608078003,0.5201468467712402,0.23680254817008972,0.113417848944664,0.31091248989105225,-0.037358131259679794
the,0.3733934462070465,0.48711544275283813,0.5514441132545471,0.23171134293079376,0.3733934462070465,0.2943263649940491,0.27627843618392944,0.5171257257461548,0.3024602234363556,0.029072100296616554,0.2489406019449234,0.733189046382904,1.0,0.23846197128295898,0.4933079481124878,0.3206169009208679,0.40399202704429626,0.34367692470550537,0.6662389636039734,0.22818894684314728,0.04743409901857376,0.22068053483963013,0.041273195296525955
united,0.21193812787532806,0.31727492809295654,0.28796783089637756,0.16047117114067078,0.21193812787532806,0.22815048694610596,0.15173953771591187,0.28213179111480713,0.22592084109783173,0.0029474215116351843,0.18023832142353058,0.3187655806541443,0.34367692470550537,0.19284281134605408,0.3053959608078003,0.17342016100883484,0.16919764876365662,1.0000001192092896,0.3938477039337158,0.17890730500221252,0.08767025172710419,0.17266890406608582,-0.05345742404460907
methodist,0.21443013846874237,0.2711138129234314,0.15058772265911102,0.17690305411815643,0.21443013846874237,0.14304444193840027,0.14912623167037964,0.2376793771982193,0.18138374388217926,0.03372980281710625,0.2186458557844162,0.28458893299102783,0.21922016143798828,0.6119816899299622,0.2960420250892639,0.129024937748909,0.14794334769248962,0.3283560872077942,0.24702993035316467,0.24879267811775208,0.2976372241973877,0.1436992734670639,0.03345853462815285
church,0.19418756663799286,0.24960921704769135,0.15520724654197693,0.16446179151535034,0.19418756663799286,0.050231799483299255,0.1735306680202484,0.1976170688867569,0.1711566299200058,0.038532305508852005,0.1726345419883728,0.3079429268836975,0.23846197128295898,0.9999999403953552,0.2707274258136749,0.1827777624130249,0.16039738059043884,0.19284281134605408,0.2493300437927246,0.25060024857521057,0.21527442336082458,0.18081501126289368,0.0220292080193758
was,0.3318818509578705,1.0000001192092896,0.3752199709415436,0.3030987083911896,0.3318818509578705,0.3172960579395294,0.19852744042873383,0.3740963041782379,0.43711766600608826,-0.012679691426455975,0.19920654594898224,0.4069072902202606,0.48711544275283813,0.24960921704769135,0.45456063747406006,0.16542018949985504,0.3076191842556,0.31727492809295654,0.45514053106307983,0.16016529500484467,0.1733308732509613,0.18412111699581146,0.04456103965640068
created,0.25695955753326416,0.3592788577079773,0.30343082547187805,0.14102953672409058,0.25695955753326416,0.26961612701416016,0.1204756423830986,0.2873832881450653,0.31388580799102783,3.665990152512677e-05,0.14150385558605194,0.32043445110321045,0.3539263904094696,0.12570784986019135,0.2755771577358246,0.2826860547065735,0.19794130325317383,0.18836534023284912,0.2843434810638428,0.14643262326717377,0.034031808376312256,0.21177415549755096,-0.004385723266750574
when,0.48282691836357117,0.37326499819755554,0.38307374715805054,0.21968716382980347,0.48282691836357117,0.2696928381919861,0.33231890201568604,0.4716290831565857,0.34706082940101624,0.07174111902713776,0.13919566571712494,0.3757161796092987,0.5091903209686279,0.20053261518478394,0.36674630641937256,0.30587899684906006,0.29873907566070557,0.2490900456905365,0.4431333839893341,0.18082654476165771,0.017524629831314087,0.22841128706932068,-0.07688097655773163
