,by,when,did,the,germanic,tribes,conquer,the,celtic,peoples,?
from,0.3373257517814636,0.405669629573822,0.20248863101005554,0.40150508284568787,0.24026349186897278,0.12463679164648056,0.14819708466529846,0.40150508284568787,0.2061079740524292,0.22571855783462524,0.19969791173934937
their,0.3242124021053314,0.3682888448238373,0.38078752160072327,0.516537070274353,0.26715853810310364,0.26845473051071167,0.1893765926361084,0.516537070274353,0.243367537856102,0.273214191198349,0.1898253709077835
original,0.2557625472545624,0.2014450877904892,0.2664784789085388,0.4037000238895416,0.18752886354923248,0.09898634254932404,0.09746770560741425,0.4037000238895416,0.22984565794467926,0.15063822269439697,0.17256900668144226
homelands,0.1817788928747177,0.18554513156414032,0.18301740288734436,0.3133435845375061,0.3983248174190521,0.46387651562690735,0.30236098170280457,0.3133435845375061,0.30598798394203186,0.49484509229660034,0.11115454882383347
in,0.370934396982193,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.24217848479747772,0.19281157851219177,0.2089083045721054,0.6662389636039734,0.21397903561592102,0.2226382941007614,0.20430970191955566
scandinavia,0.1751682609319687,0.1253659874200821,0.18483243882656097,0.24652571976184845,0.43807458877563477,0.2543203830718994,0.22819671034812927,0.24652571976184845,0.37305739521980286,0.3597862124443054,0.13888707756996155
and,0.4289871156215668,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.2491096705198288,0.2041163444519043,0.2562946677207947,0.5171257257461548,0.18960003554821014,0.26327288150787354,0.20544172823429108
northern,0.15989580750465393,0.20532405376434326,0.14611519873142242,0.3422943353652954,0.2739127278327942,0.21473228931427002,0.20916156470775604,0.3422943353652954,0.25203433632850647,0.2501770257949829,0.13149388134479523
europe,0.2368858903646469,0.18744638562202454,0.22473940253257751,0.34463706612586975,0.32132285833358765,0.22549261152744293,0.2272195816040039,0.34463706612586975,0.2526863217353821,0.3117291331291199,0.18278923630714417
",",0.3680937886238098,0.36674630641937256,0.3015086054801941,0.4933079481124878,0.22153666615486145,0.19590550661087036,0.1963682323694229,0.4933079481124878,0.22661806643009186,0.2866608202457428,0.31091248989105225
germanic,0.2570464313030243,0.20272000133991241,0.2060786336660385,0.3006645441055298,1.0000001192092896,0.5284436941146851,0.335222452878952,0.3006645441055298,0.5424380898475647,0.5166003704071045,0.18380945920944214
tribes,0.18261399865150452,0.14379605650901794,0.17429257929325104,0.26830655336380005,0.5284436941146851,0.9999999403953552,0.3389565050601959,0.26830655336380005,0.3175182342529297,0.5341514348983765,0.08824794739484787
expanded,0.2185756117105484,0.19404000043869019,0.20851697027683258,0.3258892893791199,0.17335082590579987,0.13500002026557922,0.3299129009246826,0.3258892893791199,0.1394730806350708,0.1515890657901764,0.2124357968568802
throughout,0.2679721713066101,0.30454620718955994,0.194510817527771,0.4158564507961273,0.22720925509929657,0.2054351568222046,0.2351321130990982,0.4158564507961273,0.22779017686843872,0.25852134823799133,0.12665234506130219
northern,0.15989580750465393,0.20532405376434326,0.14611519873142242,0.3422943353652954,0.2739127278327942,0.21473228931427002,0.20916156470775604,0.3422943353652954,0.25203433632850647,0.2501770257949829,0.13149388134479523
and,0.4289871156215668,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.2491096705198288,0.2041163444519043,0.2562946677207947,0.5171257257461548,0.18960003554821014,0.26327288150787354,0.20544172823429108
western,0.20149661600589752,0.2197389006614685,0.15773870050907135,0.37920868396759033,0.2526334226131439,0.2541656792163849,0.1365930587053299,0.37920868396759033,0.20522913336753845,0.29303455352783203,0.17439141869544983
europe,0.2368858903646469,0.18744638562202454,0.22473940253257751,0.34463706612586975,0.32132285833358765,0.22549261152744293,0.2272195816040039,0.34463706612586975,0.2526863217353821,0.3117291331291199,0.18278923630714417
in,0.370934396982193,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.24217848479747772,0.19281157851219177,0.2089083045721054,0.6662389636039734,0.21397903561592102,0.2226382941007614,0.20430970191955566
the,0.4408751428127289,0.5091903209686279,0.34736719727516174,1.0,0.3006645441055298,0.26830655336380005,0.2652769386768341,1.0,0.252739280462265,0.3388310670852661,0.22068053483963013
middle,0.18733404576778412,0.25323590636253357,0.17732174694538116,0.3405749201774597,0.27183806896209717,0.2298789620399475,0.1475135236978531,0.3405749201774597,0.11908507347106934,0.26998451352119446,0.13139553368091583
period,0.22862431406974792,0.3356073200702667,0.1760309934616089,0.3125074505805969,0.1907053142786026,0.10966859757900238,0.16362760961055756,0.3125074505805969,0.15459688007831573,0.17516502737998962,0.18706195056438446
of,0.3646814823150635,0.3757161796092987,0.2513895630836487,0.733189046382904,0.27129584550857544,0.21502000093460083,0.2176499366760254,0.733189046382904,0.17504934966564178,0.2785113751888275,0.1826142966747284
classical,0.17411363124847412,0.22570239007472992,0.19326694309711456,0.20384269952774048,0.24641919136047363,0.1603570580482483,0.15934154391288757,0.20384269952774048,0.24321293830871582,0.1740027815103531,0.18862907588481903
antiquity,0.16949115693569183,0.22875897586345673,0.10318449884653091,0.3004048764705658,0.35536086559295654,0.21042987704277039,0.24906601011753082,0.3004048764705658,0.32758480310440063,0.3103353977203369,0.16758611798286438
;,0.10469875484704971,0.022927695885300636,0.10727239400148392,0.09152708947658539,0.13647501170635223,0.09949321299791336,0.08978242427110672,0.09152708947658539,0.10559674352407455,0.14670680463314056,0.10349778085947037
southern,0.16957597434520721,0.22505681216716766,0.13322393596172333,0.3282862603664398,0.2374502420425415,0.23893073201179504,0.2011210024356842,0.3282862603664398,0.22395744919776917,0.21961888670921326,0.11225555837154388
europe,0.2368858903646469,0.18744638562202454,0.22473940253257751,0.34463706612586975,0.32132285833358765,0.22549261152744293,0.2272195816040039,0.34463706612586975,0.2526863217353821,0.3117291331291199,0.18278923630714417
in,0.370934396982193,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.24217848479747772,0.19281157851219177,0.2089083045721054,0.6662389636039734,0.21397903561592102,0.2226382941007614,0.20430970191955566
late,0.2580295205116272,0.29498016834259033,0.27609187364578247,0.31481194496154785,0.2443682849407196,0.18298296630382538,0.16962242126464844,0.31481194496154785,0.160836860537529,0.168855220079422,0.11339222639799118
