,what,was,the,only,region,in,europe,not,conquered,by,the,germanic,tribes,?
although,0.24844598770141602,0.3711436688899994,0.3265823423862457,0.4196508824825287,0.1751248687505722,0.28763338923454285,0.22419078648090363,0.4415263533592224,0.21840539574623108,0.2373359203338623,0.3265823423862457,0.2700446844100952,0.17495495080947876,0.15541206300258636
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.36511722207069397,0.15175513923168182,0.370934396982193,0.2368858903646469,0.291808545589447,0.2664005160331726,1.0000001192092896,0.4408751428127289,0.2570464313030243,0.18261399865150452,0.17966607213020325
1000,0.1520967036485672,0.26533812284469604,0.17211811244487762,0.15156909823417664,0.08783504366874695,0.14918813109397888,0.15569612383842468,0.18246570229530334,0.21154282987117767,0.21137332916259766,0.17211811244487762,0.20121031999588013,0.11143936961889267,0.13314302265644073
ce,0.17909298837184906,0.2145083099603653,0.2043403536081314,0.17687541246414185,0.19891321659088135,0.17440961301326752,0.2196478694677353,0.13215073943138123,0.3498607277870178,0.1527230590581894,0.2043403536081314,0.22322674095630646,0.19960764050483704,0.25396761298179626
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.4220978021621704,0.2119160145521164,0.5201468467712402,0.2542513906955719,0.3769696354866028,0.2528323531150818,0.3680937886238098,0.4933079481124878,0.22153666615486145,0.19590550661087036,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.5497692227363586,0.35020557045936584,0.6662389636039734,0.34463706612586975,0.4310511648654938,0.3127642273902893,0.4408751428127289,1.0,0.3006645441055298,0.26830655336380005,0.22068053483963013
germanic,0.23222655057907104,0.19552402198314667,0.3006645441055298,0.21794186532497406,0.22506143152713776,0.24217848479747772,0.32132285833358765,0.2373780459165573,0.3948824107646942,0.2570464313030243,0.3006645441055298,1.0000001192092896,0.5284436941146851,0.18380945920944214
conquest,0.21597714722156525,0.26261669397354126,0.3181619346141815,0.17006799578666687,0.29871615767478943,0.2541567385196686,0.28678756952285767,0.1591811180114746,0.7237659692764282,0.22859755158424377,0.3181619346141815,0.3630497455596924,0.3783445656299591,0.12928934395313263
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.49632513523101807,0.2852717339992523,0.5696388483047485,0.29299741983413696,0.3307090103626251,0.30313581228256226,0.3646814823150635,0.733189046382904,0.27129584550857544,0.21502000093460083,0.1826142966747284
central,0.17723965644836426,0.21519865095615387,0.3417201042175293,0.26708945631980896,0.33765965700149536,0.30844059586524963,0.2893555164337158,0.18825478851795197,0.24976018071174622,0.14742699265480042,0.3417201042175293,0.18188627064228058,0.18025559186935425,0.14787602424621582
