,how,many,central,conferences,are,outside,of,the,united,states,?
outside,0.2897700369358063,0.3308001160621643,0.265656977891922,0.15095317363739014,0.30540841817855835,0.9999999403953552,0.2973117530345917,0.3879719078540802,0.21548956632614136,0.1926916539669037,0.14839068055152893
the,0.33890387415885925,0.4335206151008606,0.3417201042175293,0.2745058238506317,0.40399202704429626,0.3879719078540802,0.733189046382904,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
united,0.19034643471240997,0.2670816481113434,0.24250103533267975,0.22807465493679047,0.16919764876365662,0.21548956632614136,0.3187655806541443,0.34367692470550537,1.0000001192092896,0.8952266573905945,0.17266890406608582
states,0.20841296017169952,0.29976361989974976,0.22088879346847534,0.2248457372188568,0.1846873015165329,0.1926916539669037,0.30884552001953125,0.3463578522205353,0.8952266573905945,1.0,0.16272737085819244
the,0.33890387415885925,0.4335206151008606,0.3417201042175293,0.2745058238506317,0.40399202704429626,0.3879719078540802,0.733189046382904,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
church,0.10719848424196243,0.20546764135360718,0.20518873631954193,0.20040220022201538,0.16039738059043884,0.2314598560333252,0.3079429268836975,0.23846197128295898,0.19284281134605408,0.17393819987773895,0.18081501126289368
is,0.22544461488723755,0.2649032473564148,0.273421049118042,0.13661359250545502,0.5330929756164551,0.2823421061038971,0.4854315221309662,0.5823672413825989,0.22408509254455566,0.21939043700695038,0.22961433231830597
divided,0.1862497329711914,0.21604293584823608,0.20705650746822357,0.19625331461429596,0.2984093725681305,0.18900997936725616,0.37450557947158813,0.34601110219955444,0.15760327875614166,0.16790197789669037,0.10190024226903915
into,0.2303972691297531,0.2618265151977539,0.1957717090845108,0.18457069993019104,0.2930682599544525,0.32923445105552673,0.32255905866622925,0.39493247866630554,0.1582697629928589,0.1779397875070572,0.15662476420402527
seven,0.20032188296318054,0.28098854422569275,0.11679478734731674,0.18374985456466675,0.1899895817041397,0.12687505781650543,0.273354172706604,0.28151169419288635,0.19679920375347137,0.1915588229894638,0.1732930988073349
central,0.1351521760225296,0.2221386432647705,1.0,0.20686504244804382,0.19564221799373627,0.265656977891922,0.3415789008140564,0.3417201042175293,0.24250103533267975,0.22088879346847534,0.14787602424621582
conferences,0.18415935337543488,0.2339240163564682,0.20686504244804382,0.9999999403953552,0.26714980602264404,0.15095317363739014,0.22132393717765808,0.2745058238506317,0.22807465493679047,0.2248457372188568,0.14015959203243256
:,-0.11215605586767197,-0.10786184668540955,-0.04181833565235138,0.0397956445813179,-0.1189703419804573,-0.049486611038446426,-0.08807745575904846,-0.03403344005346298,-0.047390166670084,-0.00829977635294199,-0.07156077772378922
africa,0.1568063348531723,0.285052627325058,0.2657521665096283,0.1858178973197937,0.19885441660881042,0.18302759528160095,0.2694264054298401,0.2903064787387848,0.27893802523612976,0.2616387605667114,0.12926554679870605
",",0.22659391164779663,0.40610817074775696,0.2587154507637024,0.2478943020105362,0.4062570035457611,0.2726076543331146,0.4946078956127167,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.31091248989105225
congo,0.09567807614803314,0.13302749395370483,0.2542802393436432,0.20059093832969666,0.16259706020355225,0.05241934210062027,0.20494216680526733,0.2437228113412857,0.15752269327640533,0.16092553734779358,0.1658565104007721
",",0.22659391164779663,0.40610817074775696,0.2587154507637024,0.2478943020105362,0.4062570035457611,0.2726076543331146,0.4946078956127167,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.31091248989105225
west,0.13549664616584778,0.1819247007369995,0.3777367174625397,0.1544944941997528,0.16996237635612488,0.2354571372270584,0.2891985774040222,0.32918402552604675,0.3143291771411896,0.2593729496002197,0.12088293582201004
africa,0.1568063348531723,0.285052627325058,0.2657521665096283,0.1858178973197937,0.19885441660881042,0.18302759528160095,0.2694264054298401,0.2903064787387848,0.27893802523612976,0.2616387605667114,0.12926554679870605
",",0.22659391164779663,0.40610817074775696,0.2587154507637024,0.2478943020105362,0.4062570035457611,0.2726076543331146,0.4946078956127167,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.31091248989105225
