,what,archdiocese,is,warsaw,the,seat,of,?
the,0.42745697498321533,0.27209609746932983,0.5823672413825989,0.23137180507183075,1.0,0.24530775845050812,0.733189046382904,0.22068053483963013
city,0.17493832111358643,0.39695867896080017,0.3186660706996918,0.25006377696990967,0.35769423842430115,0.3854582905769348,0.32503411173820496,0.13423943519592285
is,0.28837618231773376,0.20170584321022034,1.0,0.09741193056106567,0.5823672413825989,0.22830115258693695,0.4854315221309662,0.22961433231830597
the,0.42745697498321533,0.27209609746932983,0.5823672413825989,0.23137180507183075,1.0,0.24530775845050812,0.733189046382904,0.22068053483963013
seat,0.1103479340672493,0.37921419739723206,0.22830115258693695,0.14837482571601868,0.24530775845050812,1.0,0.2283020317554474,0.06630133837461472
of,0.33290785551071167,0.31726589798927307,0.4854315221309662,0.19253842532634735,0.733189046382904,0.2283020317554474,1.0,0.1826142966747284
a,0.3320399522781372,0.13512863218784332,0.658733606338501,0.19591784477233887,0.5829201340675354,0.19567342102527618,0.5052502155303955,0.23916715383529663
roman,0.17852471768856049,0.47147136926651,0.16690842807292938,0.26305991411209106,0.2862859070301056,0.13618505001068115,0.31028008460998535,0.1663191318511963
catholic,0.1882777214050293,0.6540353298187256,0.19233417510986328,0.26493537425994873,0.26391419768333435,0.21803578734397888,0.3452084958553314,0.16609853506088257
archdiocese,0.18125692009925842,1.0,0.20170584321022034,0.27866390347480774,0.27209609746932983,0.37921419739723206,0.31726589798927307,0.19721059501171112
(,0.2411840260028839,0.2444593906402588,0.35393038392066956,0.1835584193468094,0.33289089798927307,0.10825706273317337,0.35032153129577637,0.40561532974243164
left,0.2442072629928589,0.17699719965457916,0.15889094769954681,0.14178718626499176,0.33113980293273926,0.16051210463047028,0.2218635529279709,0.13251960277557373
bank,0.13934029638767242,0.1568038910627365,0.21801011264324188,0.1602333039045334,0.3216422498226166,0.1357855647802353,0.2346848100423813,0.09656643867492676
of,0.33290785551071167,0.31726589798927307,0.4854315221309662,0.19253842532634735,0.733189046382904,0.2283020317554474,1.0,0.1826142966747284
the,0.42745697498321533,0.27209609746932983,0.5823672413825989,0.23137180507183075,1.0,0.24530775845050812,0.733189046382904,0.22068053483963013
vistula,0.20743709802627563,0.3279578387737274,0.2513207197189331,0.43355974555015564,0.36214977502822876,0.21781420707702637,0.2898311913013458,0.1677311211824417
),0.26259949803352356,0.23638767004013062,0.37732169032096863,0.19817118346691132,0.3456730246543884,0.11098571866750717,0.3680361211299896,0.42300865054130554
and,0.31309178471565247,0.20061515271663666,0.3859752118587494,0.2083624005317688,0.5171257257461548,0.1258343905210495,0.5116966962814331,0.20544172823429108
diocese,0.1595994532108307,0.9015321731567383,0.18722738325595856,0.20597299933433533,0.24610188603401184,0.38760530948638916,0.27055925130844116,0.14348475635051727
(,0.2411840260028839,0.2444593906402588,0.35393038392066956,0.1835584193468094,0.33289089798927307,0.10825706273317337,0.35032153129577637,0.40561532974243164
right,0.38502591848373413,0.12353751808404922,0.22718656063079834,0.11199203878641129,0.33901116251945496,0.11478333175182343,0.22473211586475372,0.27135515213012695
bank,0.13934029638767242,0.1568038910627365,0.21801011264324188,0.1602333039045334,0.3216422498226166,0.1357855647802353,0.2346848100423813,0.09656643867492676
),0.26259949803352356,0.23638767004013062,0.37732169032096863,0.19817118346691132,0.3456730246543884,0.11098571866750717,0.3680361211299896,0.42300865054130554
",",0.3087472915649414,0.2534197270870209,0.4691906273365021,0.25300899147987366,0.4933079481124878,0.18137462437152863,0.4946078956127167,0.31091248989105225
and,0.31309178471565247,0.20061515271663666,0.3859752118587494,0.2083624005317688,0.5171257257461548,0.1258343905210495,0.5116966962814331,0.20544172823429108
possesses,0.24601860344409943,0.12364654988050461,0.23972852528095245,0.0101931756362319,0.2878500521183014,0.05534859746694565,0.28698158264160156,0.08340857177972794
various,0.26045072078704834,0.11534310132265091,0.13601526618003845,0.12685689330101013,0.3235042691230774,0.06108896806836128,0.3196488320827484,0.12823495268821716
universities,0.1630716770887375,0.3724677562713623,0.2421088069677353,0.18847942352294922,0.2619408071041107,0.20484770834445953,0.29948264360427856,0.16836881637573242
",",0.3087472915649414,0.2534197270870209,0.4691906273365021,0.25300899147987366,0.4933079481124878,0.18137462437152863,0.4946078956127167,0.31091248989105225
most,0.3219912350177765,0.14121176302433014,0.41165053844451904,0.06817606836557388,0.47635307908058167,0.13517065346240997,0.4178851246833801,0.2107497900724411
notably,0.1358402669429779,0.18524393439292908,0.18971042335033417,0.035475656390190125,0.33497244119644165,0.10351294279098511,0.3080497682094574,0.10343469679355621
the,0.42745697498321533,0.27209609746932983,0.5823672413825989,0.23137180507183075,1.0,0.24530775845050812,0.733189046382904,0.22068053483963013
polish,0.08233486860990524,0.2277793139219284,0.14989061653614044,0.6311136484146118,0.17708231508731842,0.07190608978271484,0.16866981983184814,0.14012759923934937
