,what,does,the,highest,level,of,the,vistula,plateau,contain,?
the,0.42745697498321533,0.35928019881248474,1.0,0.36945265531539917,0.31442487239837646,0.733189046382904,1.0,0.36214977502822876,0.29697924852371216,0.26383090019226074,0.22068053483963013
left,0.2442072629928589,0.20350635051727295,0.33113980293273926,0.070073701441288,0.10188562422990799,0.2218635529279709,0.33113980293273926,0.17949846386909485,0.08360831439495087,0.11288867890834808,0.13251960277557373
side,0.2532914876937866,0.2402036339044571,0.37146830558776855,0.18094666302204132,0.2228623330593109,0.2452700436115265,0.37146830558776855,0.3545885980129242,0.19630441069602966,0.19445326924324036,0.07831130921840668
consist,0.15849626064300537,0.14479416608810425,0.2698076069355011,0.13035626709461212,0.1709682196378708,0.34433460235595703,0.2698076069355011,0.14568835496902466,0.16274112462997437,0.5607796311378479,0.04707268625497818
mainly,0.29325804114341736,0.22703245282173157,0.3790479004383087,0.21104617416858673,0.1769798845052719,0.3325652480125427,0.3790479004383087,0.2111009955406189,0.26406237483024597,0.2639206349849701,0.07608037441968918
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.3223685622215271,0.23504668474197388,1.0,0.733189046382904,0.2898311913013458,0.2899112105369568,0.30574339628219604,0.1826142966747284
two,0.23363454639911652,0.2100418359041214,0.43858039379119873,0.14631667733192444,0.16755890846252441,0.37726253271102905,0.43858039379119873,0.19042859971523285,0.13698594272136688,0.2944203019142151,0.19645625352859497
levels,0.21641245484352112,0.24911271035671234,0.286034494638443,0.2637847661972046,0.7348478436470032,0.23668165504932404,0.286034494638443,0.13396815955638885,0.19269035756587982,0.34217584133148193,0.1541307419538498
:,-0.12022944539785385,-0.11934193223714828,-0.03403344005346298,0.08546508103609085,0.033790916204452515,-0.08807745575904846,-0.03403344005346298,-0.05008558928966522,-0.010857376269996166,-0.12136782705783844,-0.07156077772378922
the,0.42745697498321533,0.35928019881248474,1.0,0.36945265531539917,0.31442487239837646,0.733189046382904,1.0,0.36214977502822876,0.29697924852371216,0.26383090019226074,0.22068053483963013
highest,0.19637788832187653,0.17673532664775848,0.36945265531539917,1.0,0.3755190372467041,0.3223685622215271,0.36945265531539917,0.18014086782932281,0.29481932520866394,0.1526351124048233,0.11527936160564423
one,0.376489520072937,0.2924913763999939,0.5514441132545471,0.26147523522377014,0.20706917345523834,0.4999135136604309,0.5514441132545471,0.19551870226860046,0.15340381860733032,0.3207961916923523,0.2673267424106598
contains,0.14236655831336975,0.30033645033836365,0.2846323549747467,0.12283169478178024,0.17932462692260742,0.34575599431991577,0.2846323549747467,0.16574569046497345,0.15534482896327972,0.7593783736228943,0.15215006470680237
former,0.13598288595676422,0.09810520708560944,0.2251449078321457,0.14512665569782257,0.13467825949192047,0.30415382981300354,0.2251449078321457,0.17675210535526276,0.16918355226516724,0.06092213839292526,0.10570605844259262
flooded,0.20122060179710388,0.10411690920591354,0.2584758698940277,0.1824808567762375,0.2394913285970688,0.2416752129793167,0.2584758698940277,0.32948970794677734,0.3083856999874115,0.16670016944408417,0.22428427636623383
terraces,0.10560622066259384,0.16244462132453918,0.25593048334121704,0.21214669942855835,0.22867025434970856,0.2573932707309723,0.25593048334121704,0.2530107796192169,0.41053491830825806,0.223128080368042,0.07399796694517136
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.22372882068157196,0.29463574290275574,0.5116966962814331,0.5171257257461548,0.2513432800769806,0.25292128324508667,0.3066939413547516,0.20544172823429108
the,0.42745697498321533,0.35928019881248474,1.0,0.36945265531539917,0.31442487239837646,0.733189046382904,1.0,0.36214977502822876,0.29697924852371216,0.26383090019226074,0.22068053483963013
lowest,0.21666452288627625,0.19295808672904968,0.3453028202056885,0.6263864040374756,0.4414397180080414,0.2680990993976593,0.3453028202056885,0.12217330932617188,0.2732214629650116,0.21136172115802765,0.11098209768533707
one,0.376489520072937,0.2924913763999939,0.5514441132545471,0.26147523522377014,0.20706917345523834,0.4999135136604309,0.5514441132545471,0.19551870226860046,0.15340381860733032,0.3207961916923523,0.2673267424106598
the,0.42745697498321533,0.35928019881248474,1.0,0.36945265531539917,0.31442487239837646,0.733189046382904,1.0,0.36214977502822876,0.29697924852371216,0.26383090019226074,0.22068053483963013
flood,0.23546519875526428,0.13433212041854858,0.2599719166755676,0.10397734493017197,0.21603204309940338,0.22012197971343994,0.2599719166755676,0.21846571564674377,0.1975402534008026,0.15536828339099884,0.2279077023267746
plain,0.2494364231824875,0.17665989696979523,0.24952362477779388,0.14787548780441284,0.2371980994939804,0.2280387431383133,0.24952362477779388,0.2195637822151184,0.3913636803627014,0.2900114953517914,0.17552430927753448
terrace,0.10699955374002457,0.09090907126665115,0.22054624557495117,0.1997854858636856,0.234024778008461,0.22628973424434662,0.22054624557495117,0.2130032777786255,0.43441492319107056,0.16086088120937347,0.077438123524189
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.2254713773727417,0.26056769490242004,0.5352458953857422,0.5934505462646484,0.2759897708892822,0.22974298894405365,0.22565869987010956,0.4130953550338745
,what,does,the,highest,level,of,the,vistula,plateau,contain,?
aeolian,0.2282399982213974,0.20252594351768494,0.2556084096431732,0.14271436631679535,0.2534680664539337,0.26256412267684937,0.2556084096431732,0.14313003420829773,0.34995582699775696,0.20069816708564758,0.1699100136756897
sand,0.14369229972362518,0.12800167500972748,0.23732955753803253,0.07170248031616211,0.16095082461833954,0.22869873046875,0.23732955753803253,0.27554553747177124,0.34755468368530273,0.22844864428043365,0.12981772422790527
with,0.2464839518070221,0.26186925172805786,0.4223487675189972,0.1758200079202652,0.23348768055438995,0.41827285289764404,0.4223487675189972,0.18995487689971924,0.16531027853488922,0.3116915822029114,0.2433311939239502
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.23707912862300873,0.21346178650856018,0.5052502155303955,0.5829201340675354,0.219985231757164,0.1821843534708023,0.23510922491550446,0.23916715383529663
number,0.23046229779720306,0.1831183135509491,0.35145696997642517,0.24356064200401306,0.2163735032081604,0.2778518795967102,0.35145696997642517,0.13268032670021057,0.16230268776416779,0.3080412447452545,0.19256845116615295
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.3223685622215271,0.23504668474197388,1.0,0.733189046382904,0.2898311913013458,0.2899112105369568,0.30574339628219604,0.1826142966747284
