,what,does,the,currently,flooded,terrace,still,have,visible,?
the,0.42745697498321533,0.35928019881248474,1.0,0.2945235073566437,0.2584758698940277,0.22054624557495117,0.40142056345939636,0.40389683842658997,0.3234308958053589,0.22068053483963013
contemporary,0.20300830900669098,0.18216052651405334,0.25350451469421387,0.18544161319732666,0.13451044261455536,0.17932462692260742,0.2736385762691498,0.21517224609851837,0.2112506628036499,0.09539991617202759
flooded,0.20122060179710388,0.10411690920591354,0.2584758698940277,0.1360524296760559,1.0000001192092896,0.3124450445175171,0.2294732928276062,0.24483074247837067,0.16819120943546295,0.22428427636623383
terrace,0.10699955374002457,0.09090907126665115,0.22054624557495117,0.1171395480632782,0.3124450445175171,1.0000001192092896,0.17469820380210876,0.13701100647449493,0.1535807102918625,0.077438123524189
still,0.4548931419849396,0.3817117214202881,0.40142056345939636,0.46148210763931274,0.2294732928276062,0.17469820380210876,1.0,0.42502015829086304,0.27992814779281616,0.3039587736129761
has,0.20338068902492523,0.42885294556617737,0.4177538752555847,0.3354577422142029,0.20608839392662048,0.1744196116924286,0.2830006182193756,0.6353569626808167,0.23169566690921783,0.15994466841220856
visible,0.29748985171318054,0.22375774383544922,0.3234308958053589,0.12659215927124023,0.16819120943546295,0.1535807102918625,0.27992814779281616,0.30335167050361633,0.9999998807907104,0.16810297966003418
valleys,0.14168542623519897,0.11658330261707306,0.2766871154308319,0.07246092706918716,0.41335082054138184,0.389030396938324,0.1773156225681305,0.23995067179203033,0.1587977558374405,0.125887930393219
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.2922934591770172,0.25653204321861267,0.24919633567333221,0.37647393345832825,0.4711785912513733,0.2480427324771881,0.20544172823429108
ground,0.20688746869564056,0.25155168771743774,0.25776049494743347,0.1464238166809082,0.2918524146080017,0.2860167920589447,0.26205340027809143,0.25352156162261963,0.2309253066778183,0.11401822417974472
depressions,0.22146452963352203,0.15729163587093353,0.17434340715408325,0.08638656139373779,0.26194989681243896,0.20056305825710297,0.21625567972660065,0.2923838496208191,0.21925362944602966,0.1694338470697403
with,0.2464839518070221,0.26186925172805786,0.4223487675189972,0.2596642076969147,0.18064191937446594,0.18645398318767548,0.29578447341918945,0.48046383261680603,0.20152629911899567,0.2433311939239502
water,0.17456887662410736,0.29202038049697876,0.297396719455719,0.11287077516317368,0.43023747205734253,0.27793702483177185,0.2330814152956009,0.26208099722862244,0.19018396735191345,0.14731885492801666
systems,0.1871482878923416,0.21340444684028625,0.28089964389801025,0.17694708704948425,0.16907861828804016,0.16350995004177094,0.2926429808139801,0.24613319337368011,0.2166927605867386,0.1575973927974701
coming,0.42659226059913635,0.2555602490901947,0.4306776821613312,0.1462188959121704,0.2849064767360687,0.13497821986675262,0.31004172563552856,0.3032993972301483,0.25816580653190613,0.2504907250404358
from,0.2737620174884796,0.1777622550725937,0.40150508284568787,0.22614768147468567,0.22645927965641022,0.1597992181777954,0.23355193436145782,0.30702701210975647,0.22766214609146118,0.19969791173934937
the,0.42745697498321533,0.35928019881248474,1.0,0.2945235073566437,0.2584758698940277,0.22054624557495117,0.40142056345939636,0.40389683842658997,0.3234308958053589,0.22068053483963013
vistula,0.20743709802627563,0.13901375234127045,0.36214977502822876,0.04089003801345825,0.32948970794677734,0.2130032777786255,0.20066511631011963,0.1511756330728531,0.2335144579410553,0.1677311211824417
old,0.22117848694324493,0.20156827569007874,0.31849798560142517,0.1637304574251175,0.22185243666172028,0.16874758899211884,0.35824617743492126,0.21096763014793396,0.1567976176738739,0.20577076077461243
–,0.13008765876293182,0.13794226944446564,0.2607575058937073,0.13476328551769257,0.1172553300857544,0.13544440269470215,0.12251116335391998,0.1137581542134285,0.08426127582788467,0.2714554965496063
riverbed,0.17792101204395294,0.15034231543540955,0.37735381722450256,0.1344253122806549,0.5600613355636597,0.34942638874053955,0.26132240891456604,0.2760794758796692,0.19429071247577667,0.11633507907390594
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.29744869470596313,0.21218255162239075,0.16055145859718323,0.38162845373153687,0.41614407300949097,0.25432074069976807,0.4130953550338745
