,why,are,n't,the,examples,of,bouregois,architecture,visible,today,?
exceptional,0.22394205629825592,0.3859471380710602,-0.00234086811542511,0.3299735188484192,0.37155187129974365,0.3679232597351074,0.19254128634929657,0.18652386963367462,0.2921205163002014,0.1996551752090454,0.1693650484085083
examples,0.29021918773651123,0.5214043259620667,-0.05335815250873566,0.30092597007751465,0.9999999403953552,0.3054686188697815,0.18761160969734192,0.28389036655426025,0.22950303554534912,0.2873484790325165,0.19976599514484406
of,0.28464117646217346,0.39081433415412903,-0.021397603675723076,0.733189046382904,0.3054686188697815,1.0,0.2574417293071747,0.2756515443325043,0.27322983741760254,0.3291318118572235,0.1826142966747284
the,0.30742117762565613,0.40399202704429626,-0.11449059844017029,1.0,0.30092597007751465,0.733189046382904,0.27211713790893555,0.24488379061222076,0.3234308958053589,0.35740926861763,0.22068053483963013
bourgeois,0.08824929594993591,0.15417426824569702,0.08615840971469879,0.15145544707775116,0.19367894530296326,0.1824033558368683,0.7071006298065186,0.25559741258621216,0.0677960067987442,0.1632247418165207,0.11163121461868286
architecture,0.18572011590003967,0.15150071680545807,0.1361781507730484,0.24488379061222076,0.28389036655426025,0.2756515443325043,0.23206932842731476,1.0,0.18190228939056396,0.23388360440731049,0.14343059062957764
of,0.28464117646217346,0.39081433415412903,-0.021397603675723076,0.733189046382904,0.3054686188697815,1.0,0.2574417293071747,0.2756515443325043,0.27322983741760254,0.3291318118572235,0.1826142966747284
the,0.30742117762565613,0.40399202704429626,-0.11449059844017029,1.0,0.30092597007751465,0.733189046382904,0.27211713790893555,0.24488379061222076,0.3234308958053589,0.35740926861763,0.22068053483963013
later,0.2519053816795349,0.21720336377620697,0.018305091187357903,0.4060266613960266,0.16393187642097473,0.3458743393421173,0.22243894636631012,0.2545293867588043,0.12558220326900482,0.335295170545578,0.1417175978422165
periods,0.24230124056339264,0.28607046604156494,0.0652938112616539,0.27702534198760986,0.32468485832214355,0.256827712059021,0.1697586327791214,0.1883307546377182,0.2875725328922272,0.2610117197036743,0.167264923453331
were,0.2287064492702484,0.6489362716674805,-0.12209131568670273,0.3906462490558624,0.2796492278575897,0.34038281440734863,0.22577594220638275,0.17041242122650146,0.17166516184806824,0.3418138325214386,0.17890112102031708
not,0.5504072904586792,0.46186959743499756,-0.11552248895168304,0.4310511648654938,0.34699568152427673,0.3307090103626251,0.2594138979911804,0.15480296313762665,0.2635148763656616,0.32321640849113464,0.41942933201789856
restored,0.1940440684556961,0.0923575758934021,-0.0923168808221817,0.29931989312171936,0.13536864519119263,0.2796242833137512,0.20551784336566925,0.24923625588417053,0.21628525853157043,0.22312988340854645,0.1778445541858673
