,what,brought,warsaw,'s,stock,exchange,to,a,stop,?
warsaw,0.10373849421739578,0.061256974935531616,1.0,0.02839025668799877,0.14563030004501343,0.0812426209449768,0.1953994333744049,0.19591784477233887,0.18643806874752045,0.09769917279481888
's,0.02692362666130066,-0.03164028376340866,0.02839025668799877,0.9999999403953552,0.04237721487879753,0.03569260984659195,0.03782717138528824,0.04866964742541313,-0.0715416669845581,-0.023395681753754616
first,0.28086137771606445,0.24328720569610596,0.19408388435840607,-0.014458609744906425,0.19741539657115936,0.12892596423625946,0.3792489171028137,0.4287874400615692,0.20257899165153503,0.18701928853988647
stock,0.13911938667297363,0.13757532835006714,0.14563030004501343,0.04237721487879753,0.9999999403953552,0.4634912610054016,0.18901140987873077,0.25261884927749634,0.20222574472427368,0.14784406125545502
exchange,0.11323627829551697,0.17741920053958893,0.0812426209449768,0.03569260984659195,0.4634912610054016,1.0000001192092896,0.20507046580314636,0.14749813079833984,0.11795952171087265,0.048212938010692596
was,0.22111038863658905,0.35886916518211365,0.2614976763725281,0.008974763564765453,0.19506287574768066,0.15612690150737762,0.3636345863342285,0.4508470594882965,0.1702059656381607,0.18412111699581146
established,0.14869536459445953,0.2819133698940277,0.16576151549816132,-0.05163693428039551,0.09653881192207336,0.14766983687877655,0.15850777924060822,0.23500119149684906,0.0786108523607254,0.15917523205280304
in,0.30808621644973755,0.25879573822021484,0.22642600536346436,-0.037580832839012146,0.20128266513347626,0.21970009803771973,0.45010748505592346,0.539380669593811,0.20196323096752167,0.20430970191955566
1817,0.010381118394434452,-0.016888411715626717,0.05584745481610298,-0.047233946621418,0.007625216618180275,0.04415334388613701,-0.047625649720430374,0.00640892842784524,-0.057961028069257736,0.026473285630345345
and,0.31309178471565247,0.3560350239276886,0.2083624005317688,0.06895173341035843,0.1762690395116806,0.23130671679973602,0.48971283435821533,0.3739250600337982,0.2426174432039261,0.20544172823429108
continued,0.17878234386444092,0.3525243401527405,0.1507585197687149,0.02139776200056076,0.12222246080636978,0.07959400862455368,0.33327484130859375,0.22831276059150696,0.2732958197593689,0.10404038429260254
trading,0.23206625878810883,0.2629711329936981,0.15508373081684113,0.12942063808441162,0.32541245222091675,0.3916521966457367,0.24461090564727783,0.24172332882881165,0.2217424362897873,0.15743456780910492
until,0.2693650424480438,0.2777405083179474,0.20678816735744476,0.02445155940949917,0.15335769951343536,0.10314362496137619,0.354556679725647,0.2314814180135727,0.2593928277492523,0.20304496586322784
world,0.21669597923755646,0.2546136677265167,0.2137570083141327,0.11877062171697617,0.13915419578552246,0.19206896424293518,0.26213452219963074,0.22239887714385986,0.13781201839447021,0.17579582333564758
war,0.22516006231307983,0.22913770377635956,0.3365558683872223,0.06856801360845566,0.11703265458345413,0.16201038658618927,0.2610234022140503,0.2368277609348297,0.17977677285671234,0.15510529279708862
ii,0.13866674900054932,0.15157219767570496,0.2033650428056717,0.06274007260799408,0.05490047484636307,0.17237147688865662,0.20368696749210358,0.2111874669790268,0.11351045221090317,0.11928234249353409
.,0.3567904531955719,0.31484454870224,0.26825499534606934,-0.003708066651597619,0.22629013657569885,0.14290252327919006,0.4645031690597534,0.50484299659729,0.27782511711120605,0.4130953550338745
