,who,bought,the,factory,in,2005,?
in,0.2792111933231354,0.2049272358417511,0.6662389636039734,0.2757321298122406,1.0,0.009931974112987518,0.20430970191955566
2005,0.18423187732696533,-0.022623581811785698,0.037273142486810684,-0.029690537601709366,0.009931974112987518,1.0,0.10709824413061142
the,0.3733934462070465,0.2111053764820099,1.0,0.2101404368877411,0.6662389636039734,0.037273142486810684,0.22068053483963013
factory,0.21465526521205902,0.3288210928440094,0.2101404368877411,1.0,0.2757321298122406,-0.029690537601709366,0.13535508513450623
was,0.3318818509578705,0.31910616159439087,0.48711544275283813,0.28738224506378174,0.45514053106307983,0.11356307566165924,0.18412111699581146
sold,0.15799525380134583,0.6598615050315857,0.21929198503494263,0.3505607843399048,0.2828634977340698,0.036287352442741394,0.14943712949752808
to,0.42656609416007996,0.2120014727115631,0.535392165184021,0.18206502497196198,0.45010748505592346,0.018235651776194572,0.29463258385658264
avtozaz,0.15183694660663605,0.17887400090694427,0.22733737528324127,0.16001972556114197,0.23016929626464844,0.12559805810451508,0.27710530161857605
",",0.3365725874900818,0.24780677258968353,0.4933079481124878,0.2301664799451828,0.5201468467712402,0.11050146818161011,0.31091248989105225
a,0.36608949303627014,0.2100837230682373,0.5829201340675354,0.28819453716278076,0.539380669593811,-0.044396962970495224,0.23916715383529663
ukrainian,0.21101699769496918,0.06830516457557678,0.15516172349452972,0.15682318806648254,0.1520697921514511,0.22630734741687775,0.16211342811584473
car,0.16404017806053162,0.3041420876979828,0.19754165410995483,0.32886719703674316,0.22567488253116608,-0.0971316322684288,0.19800566136837006
manufacturer,0.13489842414855957,0.3907621204853058,0.18454907834529877,0.47626015543937683,0.15855246782302856,-0.02108081430196762,0.11731472611427307
which,0.3688730001449585,0.19736692309379578,0.6521818041801453,0.24650433659553528,0.4840516746044159,-0.03712547942996025,0.25814583897590637
assembled,0.1399746984243393,0.26544296741485596,0.2575589418411255,0.21819627285003662,0.187361940741539,0.03943929821252823,0.1162143424153328
there,0.2844357192516327,0.16536003351211548,0.47025805711746216,0.2221163660287857,0.5361666083335876,0.04571054130792618,0.29405656456947327
the,0.3733934462070465,0.2111053764820099,1.0,0.2101404368877411,0.6662389636039734,0.037273142486810684,0.22068053483963013
chevrolet,0.13838185369968414,0.28291332721710205,0.1811670958995819,0.3074018061161041,0.18544410169124603,0.011751861311495304,0.1429024338722229
aveo,0.1103176698088646,0.2678316831588745,0.2452358454465866,0.18505851924419403,0.21192730963230133,0.051990050822496414,0.1795371174812317
.,0.3541337847709656,0.24172939360141754,0.5934505462646484,0.2442452311515808,0.5591574311256409,0.0678042471408844,0.4130953550338745
