,when,was,the,university,library,founded,?
another,0.48569372296333313,0.34961897134780884,0.5019711852073669,0.20031465590000153,0.1118687242269516,0.14945363998413086,0.295511931180954
important,0.24781537055969238,0.24924467504024506,0.39348116517066956,0.20405744016170502,0.22369244694709778,0.21640752255916595,0.17812499403953552
library,0.18465861678123474,0.1691625416278839,0.19920319318771362,0.3760603964328766,0.9999999403953552,0.20474135875701904,0.18938742578029633
–,0.20347917079925537,0.30754852294921875,0.2607575058937073,0.18653567135334015,0.14029674232006073,0.21949882805347443,0.2714554965496063
the,0.5091903209686279,0.48711544275283813,1.0,0.263973206281662,0.19920319318771362,0.2840350568294525,0.22068053483963013
university,0.20851898193359375,0.290752112865448,0.263973206281662,1.0,0.3760603964328766,0.3603554666042328,0.11887256056070328
library,0.18465861678123474,0.1691625416278839,0.19920319318771362,0.3760603964328766,0.9999999403953552,0.20474135875701904,0.18938742578029633
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.3017033040523529,0.16805633902549744,0.24976085126399994,0.31091248989105225
founded,0.16657374799251556,0.36917948722839355,0.2840350568294525,0.3603554666042328,0.20474135875701904,1.0000001192092896,0.09119737893342972
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.3201795518398285,0.2101847380399704,0.24877111613750458,0.20430970191955566
1816,0.3236842751502991,0.14081136882305145,0.47585317492485046,0.19809111952781677,0.2584851086139679,0.12130666524171829,0.3900545537471771
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.3017033040523529,0.16805633902549744,0.24976085126399994,0.31091248989105225
is,0.3471449911594391,0.5810302495956421,0.5823672413825989,0.20346471667289734,0.16916222870349884,0.21368175745010376,0.22961433231830597
home,0.24208083748817444,0.25139835476875305,0.28978195786476135,0.2638651728630066,0.21504192054271698,0.22956199944019318,0.0757145956158638
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.20192374289035797,0.19252733886241913,0.15697255730628967,0.29463258385658264
over,0.36642953753471375,0.24486446380615234,0.39856547117233276,0.18348753452301025,0.15256260335445404,0.1425824761390686,0.25742942094802856
two,0.3743424117565155,0.27166637778282166,0.43858039379119873,0.21943320333957672,0.1323847770690918,0.15438216924667358,0.19645625352859497
million,0.17012886703014374,0.24203833937644958,0.277012437582016,0.17569899559020996,0.11873524636030197,0.1918994039297104,0.23092924058437347
items,0.2708219885826111,0.10300161689519882,0.23580949008464813,0.0012833939399570227,0.28639376163482666,0.043795209378004074,0.19807128608226776
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.290679007768631,0.23675528168678284,0.23141497373580933,0.4130953550338745
