,what,type,of,venue,is,the,teatr,wielki,?
thanks,0.38777562975883484,0.08960161358118057,0.1487227827310562,0.21248078346252441,0.17794272303581238,0.22702956199645996,0.17616486549377441,0.21105705201625824,0.5687435865402222
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.21620799601078033,0.42745086550712585,0.535392165184021,0.16058051586151123,0.19586648046970367,0.29463258385658264
numerous,0.1867249608039856,0.13909657299518585,0.3024154603481293,0.18638259172439575,0.14785398542881012,0.3353725075721741,0.09961092472076416,0.1766163408756256,0.0875130444765091
musical,0.22908931970596313,0.09681759774684906,0.2380346953868866,0.1869691014289856,0.163146510720253,0.2295164167881012,0.2617296576499939,0.22260338068008423,0.187048077583313
venues,0.14964675903320312,0.05960563197731972,0.23005232214927673,0.7888666391372681,0.20130445063114166,0.28291937708854675,0.29380321502685547,0.09128163754940033,0.1424274891614914
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.24143879115581512,0.4691906273365021,0.4933079481124878,0.19238874316215515,0.3482707440853119,0.31091248989105225
including,0.18328791856765747,0.12051080167293549,0.44195112586021423,0.16998796164989471,0.25093933939933777,0.3738902807235718,0.16641740500926971,0.147984117269516,0.1633303165435791
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22078999876976013,0.5823672413825989,1.0,0.1670025736093521,0.2319086194038391,0.22068053483963013
teatr,0.09525590389966965,0.1139845997095108,0.1547166109085083,0.3248731791973114,0.12818729877471924,0.1670025736093521,1.0000001192092896,0.38409623503685,0.17024710774421692
wielki,0.1911606341600418,0.103351891040802,0.2029358297586441,0.1134273037314415,0.2266494184732437,0.2319086194038391,0.38409623503685,0.9999999403953552,0.18371832370758057
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.24143879115581512,0.4691906273365021,0.4933079481124878,0.19238874316215515,0.3482707440853119,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22078999876976013,0.5823672413825989,1.0,0.1670025736093521,0.2319086194038391,0.22068053483963013
polish,0.08233486860990524,0.027113625779747963,0.16866981983184814,0.09090369939804077,0.14989061653614044,0.17708231508731842,0.1913335621356964,0.43994632363319397,0.14012759923934937
national,0.16882304847240448,0.14095038175582886,0.3314673602581024,0.17616122961044312,0.23413582146167755,0.32739606499671936,0.22765707969665527,0.21016238629817963,0.15643028914928436
opera,0.19126243889331818,0.08030115813016891,0.2148524820804596,0.26065805554389954,0.1781812608242035,0.21712259948253632,0.4947742819786072,0.2488822042942047,0.12079104036092758
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.24143879115581512,0.4691906273365021,0.4933079481124878,0.19238874316215515,0.3482707440853119,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22078999876976013,0.5823672413825989,1.0,0.1670025736093521,0.2319086194038391,0.22068053483963013
chamber,0.1224752739071846,0.1355724036693573,0.24295011162757874,0.19797050952911377,0.18098223209381104,0.2594704031944275,0.2351180613040924,0.17846417427062988,0.04307165369391441
opera,0.19126243889331818,0.08030115813016891,0.2148524820804596,0.26065805554389954,0.1781812608242035,0.21712259948253632,0.4947742819786072,0.2488822042942047,0.12079104036092758
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.24143879115581512,0.4691906273365021,0.4933079481124878,0.19238874316215515,0.3482707440853119,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22078999876976013,0.5823672413825989,1.0,0.1670025736093521,0.2319086194038391,0.22068053483963013
national,0.16882304847240448,0.14095038175582886,0.3314673602581024,0.17616122961044312,0.23413582146167755,0.32739606499671936,0.22765707969665527,0.21016238629817963,0.15643028914928436
philharmonic,0.15309064090251923,-0.018242543563246727,0.2278154194355011,0.335778146982193,0.15630748867988586,0.24673660099506378,0.483577698469162,0.3504672944545746,0.13191483914852142
hall,0.10849796235561371,0.09146706759929657,0.23551815748214722,0.2834157645702362,0.21646162867546082,0.28526565432548523,0.267999529838562,0.2418513149023056,0.13520537316799164
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.20970648527145386,0.3859752118587494,0.5171257257461548,0.18171049654483795,0.29287493228912354,0.20544172823429108
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22078999876976013,0.5823672413825989,1.0,0.1670025736093521,0.2319086194038391,0.22068053483963013
national,0.16882304847240448,0.14095038175582886,0.3314673602581024,0.17616122961044312,0.23413582146167755,0.32739606499671936,0.22765707969665527,0.21016238629817963,0.15643028914928436
theatre,0.12211663275957108,0.034952517598867416,0.19807180762290955,0.4005979001522064,0.17514966428279877,0.25594043731689453,0.5338507890701294,0.29614415764808655,0.1159285232424736
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.24143879115581512,0.4691906273365021,0.4933079481124878,0.19238874316215515,0.3482707440853119,0.31091248989105225
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.22545309364795685,0.43216490745544434,0.48381632566452026,0.10897934436798096,0.22929596900939941,0.27043893933296204
well,0.4154493808746338,0.18039114773273468,0.3343164324760437,0.2218223661184311,0.33406564593315125,0.42630070447921753,0.15288671851158142,0.260603666305542,0.24815571308135986
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.22545309364795685,0.43216490745544434,0.48381632566452026,0.10897934436798096,0.22929596900939941,0.27043893933296204
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22078999876976013,0.5823672413825989,1.0,0.1670025736093521,0.2319086194038391,0.22068053483963013
roma,0.14927782118320465,0.09290660917758942,0.13172538578510284,0.16851206123828888,0.09770216792821884,0.11261605471372604,0.37594854831695557,0.36303290724754333,0.20083442330360413
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.20970648527145386,0.3859752118587494,0.5171257257461548,0.18171049654483795,0.29287493228912354,0.20544172823429108
