,what,does,the,museum,of,the,polish,army,portray,the,history,of,?
from,0.2737620174884796,0.1777622550725937,0.40150508284568787,0.20791949331760406,0.4249346852302551,0.40150508284568787,0.24760311841964722,0.2187274545431137,0.15239723026752472,0.40150508284568787,0.23008158802986145,0.4249346852302551,0.19969791173934937
among,0.21154822409152985,0.13270315527915955,0.3507058024406433,0.20246858894824982,0.3679063022136688,0.3507058024406433,0.17194700241088867,0.16557571291923523,0.2850143313407898,0.3507058024406433,0.18808558583259583,0.3679063022136688,0.14343059062957764
warsaw,0.10373849421739578,0.16921466588974,0.23137180507183075,0.24001078307628632,0.19253842532634735,0.23137180507183075,0.6311136484146118,0.2348434329032898,0.058566149324178696,0.23137180507183075,0.14789769053459167,0.19253842532634735,0.09769917279481888
's,0.02692362666130066,-0.02895052544772625,-0.01540423184633255,-0.011753248050808907,-0.03817026689648628,-0.01540423184633255,0.047667719423770905,0.03417222201824188,-0.024855151772499084,-0.01540423184633255,-0.0466335192322731,-0.03817026689648628,-0.023395681753754616
60,0.07328611612319946,-0.014436322264373302,0.04635925963521004,0.028498312458395958,0.05524682253599167,0.04635925963521004,-0.0627741888165474,-0.044632475823163986,-0.04740050807595253,0.04635925963521004,-0.06619429588317871,0.05524682253599167,0.06999651342630386
museums,0.18489275872707367,0.1825832724571228,0.2721219062805176,0.766154408454895,0.2631984055042267,0.2721219062805176,0.1598508507013321,0.19116826355457306,0.17009231448173523,0.2721219062805176,0.3271060883998871,0.2631984055042267,0.1374243199825287
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.20741747319698334,0.4946078956127167,0.4933079481124878,0.2655222415924072,0.230897456407547,0.1539248824119568,0.4933079481124878,0.2728564441204071,0.4946078956127167,0.31091248989105225
the,0.42745697498321533,0.35928019881248474,1.0,0.24861779808998108,0.733189046382904,1.0,0.17708231508731842,0.31011611223220825,0.2126535326242447,1.0,0.33215048909187317,0.733189046382904,0.22068053483963013
most,0.3219912350177765,0.30044323205947876,0.47635307908058167,0.15799327194690704,0.4178851246833801,0.47635307908058167,0.14404712617397308,0.1781715601682663,0.3271732032299042,0.47635307908058167,0.3151164948940277,0.4178851246833801,0.2107497900724411
prestigious,0.11413072049617767,0.13732276856899261,0.2841964662075043,0.2196587324142456,0.26540738344192505,0.2841964662075043,0.1406688094139099,0.19643355906009674,0.2453765720129013,0.2841964662075043,0.24766919016838074,0.26540738344192505,0.050204768776893616
ones,0.28536954522132874,0.27517038583755493,0.333568274974823,0.1338566243648529,0.23451396822929382,0.333568274974823,0.15702587366104126,0.15345905721187592,0.2896909713745117,0.333568274974823,0.2008810192346573,0.23451396822929382,0.28155767917633057
are,0.29724663496017456,0.3126322329044342,0.40399202704429626,0.12469582259654999,0.39081433415412903,0.40399202704429626,0.10059056431055069,0.13149341940879822,0.24642246961593628,0.40399202704429626,0.15434955060482025,0.39081433415412903,0.24591213464736938
national,0.16882304847240448,0.16890141367912292,0.32739606499671936,0.2500859498977661,0.3314673602581024,0.32739606499671936,0.12666994333267212,0.20045478641986847,0.096915103495121,0.32739606499671936,0.2300690859556198,0.3314673602581024,0.15643028914928436
museum,0.1771627515554428,0.1064787358045578,0.24861779808998108,1.0000001192092896,0.23314370214939117,0.24861779808998108,0.17116215825080872,0.14988547563552856,0.1586996465921402,0.24861779808998108,0.36523616313934326,0.23314370214939117,0.14128351211547852
with,0.2464839518070221,0.26186925172805786,0.4223487675189972,0.08185859024524689,0.41827285289764404,0.4223487675189972,0.12943772971630096,0.14974439144134521,0.20391158759593964,0.4223487675189972,0.1947222352027893,0.41827285289764404,0.2433311939239502
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.14725451171398163,0.5052502155303955,0.5829201340675354,0.20954546332359314,0.20244213938713074,0.22632034122943878,0.5829201340675354,0.2123815417289734,0.5052502155303955,0.23916715383529663
collection,0.215459942817688,0.10356780141592026,0.25281965732574463,0.4441815912723541,0.2915455996990204,0.25281965732574463,0.1291814148426056,0.1456238180398941,0.23698677122592926,0.25281965732574463,0.2772976756095886,0.2915455996990204,0.20069393515586853
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.23314370214939117,1.0,0.733189046382904,0.16866981983184814,0.2669098675251007,0.24145586788654327,0.733189046382904,0.31014925241470337,1.0,0.1826142966747284
works,0.2418437898159027,0.3256840407848358,0.26337864995002747,0.2308025360107422,0.1964656114578247,0.26337864995002747,0.1794871687889099,0.1071699857711792,0.2786487638950348,0.26337864995002747,0.21904180943965912,0.1964656114578247,0.19597402215003967
whose,0.22831642627716064,0.2838347554206848,0.38253846764564514,0.017854614183306694,0.37058958411216736,0.38253846764564514,0.20729434490203857,0.10774852335453033,0.318466454744339,0.38253846764564514,0.15588603913784027,0.37058958411216736,0.16990536451339722
origin,0.20149369537830353,0.1426919400691986,0.24161343276500702,0.15417233109474182,0.23941168189048767,0.24161343276500702,0.12623700499534607,0.121177539229393,0.14958558976650238,0.24161343276500702,0.29244306683540344,0.23941168189048767,0.12716172635555267
ranges,0.20017047226428986,0.18597686290740967,0.2618407607078552,0.07804493606090546,0.25018027424812317,0.2618407607078552,0.02207053080201149,0.1404958963394165,0.056971531361341476,0.2618407607078552,0.09672503918409348,0.25018027424812317,0.10840721428394318
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.2407650351524353,0.5696388483047485,0.6662389636039734,0.1896398365497589,0.25258398056030273,0.21545447409152985,0.6662389636039734,0.29215577244758606,0.5696388483047485,0.20430970191955566
