,who,won,the,ekstraklasa,championship,in,2000,?
their,0.3767721951007843,0.1798611581325531,0.516537070274353,0.11160867661237717,0.12631161510944366,0.34976133704185486,0.03111526183784008,0.1898253709077835
local,0.20416545867919922,0.09226059168577194,0.2130540907382965,0.1973424106836319,0.10158141702413559,0.2223825752735138,-0.11448375135660172,0.15022775530815125
rivals,0.20291933417320251,0.23846887052059174,0.22553907334804535,0.28098103404045105,0.28248557448387146,0.1964770406484604,-0.14473816752433777,0.10840261727571487
",",0.3365725874900818,0.35968565940856934,0.4933079481124878,0.31822144985198975,0.256124883890152,0.5201468467712402,-0.03465369716286659,0.31091248989105225
polonia,0.1497538536787033,0.2163372039794922,0.21647357940673828,0.44281837344169617,0.21072211861610413,0.25500866770744324,-0.09613728523254395,0.13833504915237427
warsaw,0.16496863961219788,0.155456081032753,0.23137180507183075,0.481136679649353,0.15007582306861877,0.22642600536346436,-0.0008037164807319641,0.09769917279481888
",",0.3365725874900818,0.35968565940856934,0.4933079481124878,0.31822144985198975,0.256124883890152,0.5201468467712402,-0.03465369716286659,0.31091248989105225
have,0.39246654510498047,0.215050607919693,0.40389683842658997,0.08295677602291107,0.14082325994968414,0.36843645572662354,-0.12468268722295761,0.32991164922714233
significantly,0.23076145350933075,0.12594205141067505,0.3313288986682892,0.08240875601768494,0.09151066839694977,0.26986899971961975,-0.10561004281044006,0.1823679804801941
fewer,0.23718348145484924,0.16901032626628876,0.37070468068122864,0.05842214822769165,0.18385861814022064,0.28511932492256165,-0.05988018959760666,0.16989107429981232
supporters,0.30739280581474304,0.29030874371528625,0.24381227791309357,0.21640096604824066,0.1648346483707428,0.2041189819574356,-0.13465386629104614,0.135813906788826
",",0.3365725874900818,0.35968565940856934,0.4933079481124878,0.31822144985198975,0.256124883890152,0.5201468467712402,-0.03465369716286659,0.31091248989105225
yet,0.32774239778518677,0.18433909118175507,0.32892218232154846,0.10496494919061661,0.12796252965927124,0.2714422047138214,-0.06849190592765808,0.4011770784854889
they,0.47879111766815186,0.24913105368614197,0.49925389885902405,0.1323595941066742,0.15806850790977478,0.4330179989337921,-0.06010894104838371,0.2753053903579712
managed,0.2613052427768707,0.2215982973575592,0.2725190818309784,0.12437193840742111,0.19721364974975586,0.28584665060043335,-0.12991228699684143,0.1315973401069641
to,0.42656609416007996,0.1945943981409073,0.535392165184021,0.11831703782081604,0.18725894391536713,0.45010748505592346,-0.05413077399134636,0.29463258385658264
win,0.25592827796936035,0.667466402053833,0.28308698534965515,0.24540092051029205,0.4392695724964142,0.2503834664821625,-0.042507633566856384,0.1873117983341217
ekstraklasa,0.1470136046409607,0.2933032512664795,0.19846132397651672,1.0,0.32951247692108154,0.24687224626541138,-0.15523986518383026,0.15917378664016724
championship,0.15638136863708496,0.48160451650619507,0.2540402412414551,0.32951247692108154,1.0000001192092896,0.20047812163829803,-0.13687266409397125,0.1390383541584015
in,0.2792111933231354,0.3280489146709442,0.6662389636039734,0.24687224626541138,0.20047812163829803,1.0,-0.0435720756649971,0.20430970191955566
2000,0.074765644967556,0.01435578241944313,-0.015081177465617657,-0.15523986518383026,-0.13687266409397125,-0.0435720756649971,1.0,-0.0824366956949234
.,0.3541337847709656,0.3011801838874817,0.5934505462646484,0.26467522978782654,0.23509643971920013,0.5591574311256409,-0.03837863355875015,0.4130953550338745
