,what,territory,was,ceded,to,britain,?
france,0.17793065309524536,0.230753093957901,0.2715669870376587,0.2913961410522461,0.2670897841453552,0.41256818175315857,0.15069349110126495
ceded,0.18067489564418793,0.4463285505771637,0.337126761674881,0.9999999403953552,0.234125018119812,0.2787061035633087,0.13127154111862183
its,0.30393704771995544,0.2604066729545593,0.3518870174884796,0.21579918265342712,0.3691340684890747,0.2206818163394928,0.15103481709957123
territory,0.21338070929050446,1.0,0.20208659768104553,0.4463285505771637,0.2642725706100464,0.20259688794612885,0.09435105323791504
east,0.19840149581432343,0.31765806674957275,0.2747166156768799,0.3442886173725128,0.24717837572097778,0.24323202669620514,0.10070597380399704
of,0.33290785551071167,0.27564212679862976,0.4069072902202606,0.3327391743659973,0.41548454761505127,0.28899943828582764,0.1826142966747284
the,0.42745697498321533,0.3000710904598236,0.48711544275283813,0.337197870016098,0.535392165184021,0.29784059524536133,0.22068053483963013
mississippi,0.1531691700220108,0.2649928331375122,0.23519425094127655,0.23511597514152527,0.17388485372066498,0.16339227557182312,0.1548103243112564
to,0.455847829580307,0.2642725706100464,0.3636345863342285,0.234125018119812,1.0,0.25324371457099915,0.29463258385658264
great,0.2562883198261261,0.1572829633951187,0.19652196764945984,0.1976182460784912,0.1880372017621994,0.5453594923019409,0.13135133683681488
britain,0.24206450581550598,0.20259688794612885,0.27792006731033325,0.2787061035633087,0.25324371457099915,1.0000001192092896,0.1268460750579834
.,0.3567904531955719,0.2527329623699188,0.40146201848983765,0.27141332626342773,0.4645031690597534,0.25750598311424255,0.4130953550338745
,what,territory,was,ceded,to,britain,?
the,0.42745697498321533,0.3000710904598236,0.48711544275283813,0.337197870016098,0.535392165184021,0.29784059524536133,0.22068053483963013
outcome,0.3721276521682739,0.18309064209461212,0.16111096739768982,0.12352530658245087,0.2888931632041931,0.20137839019298553,0.2687326669692993
was,0.22111038863658905,0.20208659768104553,1.0000001192092896,0.337126761674881,0.3636345863342285,0.27792006731033325,0.18412111699581146
one,0.376489520072937,0.1853368729352951,0.3752199709415436,0.15261535346508026,0.4025384783744812,0.24012713134288788,0.2673267424106598
of,0.33290785551071167,0.27564212679862976,0.4069072902202606,0.3327391743659973,0.41548454761505127,0.28899943828582764,0.1826142966747284
the,0.42745697498321533,0.3000710904598236,0.48711544275283813,0.337197870016098,0.535392165184021,0.29784059524536133,0.22068053483963013
most,0.3219912350177765,0.13346341252326965,0.29933857917785645,0.14756131172180176,0.321603000164032,0.23926731944084167,0.2107497900724411
significant,0.24268144369125366,0.17386695742607117,0.187061607837677,0.1951705515384674,0.27648770809173584,0.20875705778598785,0.18679562211036682
developments,0.22913794219493866,0.20745068788528442,0.2572219669818878,0.17607353627681732,0.32066288590431213,0.19277746975421906,0.1302815079689026
in,0.30808621644973755,0.2756796181201935,0.45514053106307983,0.2993238568305969,0.45010748505592346,0.26246872544288635,0.20430970191955566
a,0.3320399522781372,0.18926236033439636,0.4508470594882965,0.14384841918945312,0.45503583550453186,0.18575294315814972,0.23916715383529663
century,0.20422613620758057,0.2797248065471649,0.3521432876586914,0.24671107530593872,0.20143604278564453,0.2561532258987427,0.1026201918721199
of,0.33290785551071167,0.27564212679862976,0.4069072902202606,0.3327391743659973,0.41548454761505127,0.28899943828582764,0.1826142966747284
anglo-french,0.25227200984954834,0.20439258217811584,0.29022645950317383,0.3376786708831787,0.22369877994060516,0.3876505196094513,0.21362312138080597
conflict,0.32742366194725037,0.26336899399757385,0.19450020790100098,0.28570356965065,0.2420341968536377,0.2009436935186386,0.26744839549064636
.,0.3567904531955719,0.2527329623699188,0.40146201848983765,0.27141332626342773,0.4645031690597534,0.25750598311424255,0.4130953550338745
