,who,was,added,to,party,as,washington,went,on,the,way,?
washington,0.19577515125274658,0.24854253232479095,0.13336190581321716,0.24971476197242737,0.14220795035362244,0.14071886241436005,1.0,0.19774262607097626,0.24410521984100342,0.24987076222896576,0.1846470981836319,0.157786026597023
left,0.24052289128303528,0.21956826746463776,0.15875524282455444,0.2724500000476837,0.2704508304595947,0.24601076543331146,0.13355624675750732,0.3139558732509613,0.30747801065444946,0.33113980293273926,0.1931961625814438,0.13251960277557373
with,0.3282766342163086,0.27411898970603943,0.3135547637939453,0.4239959120750427,0.21132639050483704,0.40387406945228577,0.1870277225971222,0.22259940207004547,0.40749499201774597,0.4223487675189972,0.3546393811702728,0.2433311939239502
a,0.36608949303627014,0.4508470594882965,0.2839798927307129,0.45503583550453186,0.20141370594501495,0.39550232887268066,0.17264322936534882,0.24972176551818848,0.3848365545272827,0.5829201340675354,0.3330821096897125,0.23916715383529663
small,0.23894593119621277,0.16572418808937073,0.17526918649673462,0.3054737150669098,0.11843512952327728,0.2644537687301636,0.08115627616643906,0.18483781814575195,0.2910216152667999,0.39655908942222595,0.2564546763896942,0.13914890587329865
party,0.2427869290113449,0.25508102774620056,0.17161411046981812,0.1893671154975891,0.9999999403953552,0.17884716391563416,0.14220795035362244,0.16101916134357452,0.23256510496139526,0.23779736459255219,0.19240997731685638,0.19031576812267303
",",0.3365725874900818,0.45456063747406006,0.28397712111473083,0.44245919585227966,0.21963930130004883,0.48816442489624023,0.25230398774147034,0.29013195633888245,0.49057599902153015,0.4933079481124878,0.2861018478870392,0.31091248989105225
picking,0.29033443331718445,0.1491461545228958,0.24457867443561554,0.2991875410079956,0.10491731762886047,0.2447725236415863,0.20045283436775208,0.18085576593875885,0.30672016739845276,0.3014526963233948,0.3453418016433716,0.21362532675266266
up,0.26056501269340515,0.24070115387439728,0.26305773854255676,0.40375280380249023,0.15331965684890747,0.22736889123916626,0.1911628097295761,0.25305017828941345,0.34194523096084595,0.38423117995262146,0.30281156301498413,0.1819818764925003
along,0.2523764669895172,0.24175575375556946,0.2418818324804306,0.2976071536540985,0.1669933795928955,0.31813573837280273,0.1969100534915924,0.20899079740047455,0.41361382603645325,0.39495137333869934,0.34825634956359863,0.17134909331798553
the,0.3733934462070465,0.48711544275283813,0.3207796514034271,0.535392165184021,0.23779736459255219,0.48381632566452026,0.24987076222896576,0.3345835506916046,0.5107308030128479,1.0,0.36217406392097473,0.22068053483963013
way,0.38557878136634827,0.2418399453163147,0.24836605787277222,0.4772548973560333,0.19240997731685638,0.3409440517425537,0.1846470981836319,0.25066426396369934,0.2997978627681732,0.36217406392097473,1.0,0.31575819849967957
jacob,0.2594224810600281,0.14795814454555511,0.08835294097661972,0.1503329575061798,0.1440388411283493,0.1972913295030594,0.09582176804542542,0.18031813204288483,0.19136032462120056,0.22024451196193695,0.15842577815055847,0.11618305742740631
van,0.19967937469482422,0.20371906459331512,0.17740483582019806,0.198682501912117,0.10804641991853714,0.18259640038013458,0.19319915771484375,0.14336006343364716,0.18874120712280273,0.13541297614574432,0.130629763007164,0.15528257191181183
braam,0.2781335711479187,0.3096083402633667,0.21857516467571259,0.2590254545211792,0.2927458584308624,0.2738337814807892,0.2383110523223877,0.2513415217399597,0.28247150778770447,0.32995280623435974,0.27941709756851196,0.21508623659610748
as,0.3923053741455078,0.3677520453929901,0.2611570656299591,0.42092081904411316,0.17884716391563416,1.0,0.14071886241436005,0.21750199794769287,0.36047765612602234,0.48381632566452026,0.3409440517425537,0.27043893933296204
an,0.2848317325115204,0.3694365322589874,0.21177144348621368,0.3138085603713989,0.15359370410442352,0.37218472361564636,0.12979181110858917,0.1684015691280365,0.3192969560623169,0.4207492768764496,0.2338123321533203,0.19793890416622162
interpreter,0.3181096315383911,0.21994748711585999,0.177063450217247,0.2370086908340454,0.23634955286979675,0.26133081316947937,0.18112167716026306,0.21336525678634644,0.18386219441890717,0.24445651471614838,0.3060891628265381,0.20340946316719055
;,0.007937713526189327,0.0754367932677269,0.04616202786564827,0.0979827418923378,-0.04555346816778183,0.05586666986346245,0.0787808820605278,0.015374010428786278,-0.017878999933600426,0.09152708947658539,0.10376396775245667,0.10349778085947037
christopher,0.28159621357917786,0.2627876102924347,0.09306486696004868,0.18376077711582184,0.13521897792816162,0.20605675876140594,0.18723686039447784,0.18043231964111328,0.1909111887216568,0.22499394416809082,0.10436612367630005,0.09195942431688309
gist,0.35114672780036926,0.29916828870773315,0.1348467320203781,0.13903361558914185,0.26384344696998596,0.22726322710514069,0.21721653640270233,0.17389646172523499,0.17003676295280457,0.19543670117855072,0.19173160195350647,0.1868244707584381
",",0.3365725874900818,0.45456063747406006,0.28397712111473083,0.44245919585227966,0.21963930130004883,0.48816442489624023,0.25230398774147034,0.29013195633888245,0.49057599902153015,0.4933079481124878,0.2861018478870392,0.31091248989105225
a,0.36608949303627014,0.4508470594882965,0.2839798927307129,0.45503583550453186,0.20141370594501495,0.39550232887268066,0.17264322936534882,0.24972176551818848,0.3848365545272827,0.5829201340675354,0.3330821096897125,0.23916715383529663
company,0.2383776307106018,0.2293137013912201,0.17443202435970306,0.24903783202171326,0.27858254313468933,0.18860384821891785,0.18696698546409607,0.18048624694347382,0.23664942383766174,0.26591673493385315,0.2314044088125229,0.12195809185504913
surveyor,0.296164870262146,0.26896440982818604,0.10138516128063202,0.2366403043270111,0.20413580536842346,0.20596207678318024,0.28000396490097046,0.22270049154758453,0.1993754506111145,0.2486654818058014,0.22149845957756042,0.0702582448720932
working,0.32452359795570374,0.25099408626556396,0.1989307701587677,0.28215980529785156,0.17057888209819794,0.2861536145210266,0.16015034914016724,0.267062246799469,0.2811677157878876,0.25857484340667725,0.2989746332168579,0.17154020071029663
in,0.2792111933231354,0.45514053106307983,0.26384392380714417,0.45010748505592346,0.20446790754795074,0.3887844979763031,0.24838601052761078,0.30470821261405945,0.46853652596473694,0.6662389636039734,0.30444321036338806,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,0.3207796514034271,0.535392165184021,0.23779736459255219,0.48381632566452026,0.24987076222896576,0.3345835506916046,0.5107308030128479,1.0,0.36217406392097473,0.22068053483963013
area,0.23362743854522705,0.24981513619422913,0.14807122945785522,0.2797197997570038,0.12667371332645416,0.2407972663640976,0.1450551450252533,0.21133454144001007,0.20868615806102753,0.37834644317626953,0.20588800311088562,0.12640461325645447
;,0.007937713526189327,0.0754367932677269,0.04616202786564827,0.0979827418923378,-0.04555346816778183,0.05586666986346245,0.0787808820605278,0.015374010428786278,-0.017878999933600426,0.09152708947658539,0.10376396775245667,0.10349778085947037
and,0.41279885172843933,0.3740963041782379,0.29847657680511475,0.48971283435821533,0.20650289952754974,0.49487000703811646,0.2120160311460495,0.3419242799282074,0.4077630043029785,0.5171257257461548,0.32150545716285706,0.20544172823429108
a,0.36608949303627014,0.4508470594882965,0.2839798927307129,0.45503583550453186,0.20141370594501495,0.39550232887268066,0.17264322936534882,0.24972176551818848,0.3848365545272827,0.5829201340675354,0.3330821096897125,0.23916715383529663
few,0.3378944993019104,0.21633684635162354,0.21884584426879883,0.36415213346481323,0.18332983553409576,0.2811742126941681,0.1478283852338791,0.23594029247760773,0.3005446493625641,0.34660017490386963,0.2656044065952301,0.2334265559911728
