,how,many,men,did,duquesne,send,to,relieve,saint-pierre,?
governor,0.09762346744537354,0.0966005027294159,0.16543643176555634,0.1650441586971283,0.2526571750640869,0.15657790005207062,0.15556925535202026,0.1914629489183426,0.19956888258457184,0.135940283536911
duquesne,0.16593004763126373,0.1672433763742447,0.1634652316570282,0.17667728662490845,1.0,0.13590165972709656,0.22050736844539642,0.13306133449077606,0.5679957866668701,0.18955427408218384
sent,0.2166701704263687,0.19795207679271698,0.27145496010780334,0.3411059081554413,0.18878188729286194,0.6679649949073792,0.34694167971611023,0.22902852296829224,0.1338788866996765,0.10903520882129669
additional,0.22369614243507385,0.24535326659679413,0.1510409265756607,0.20902137458324432,0.17272815108299255,0.20395630598068237,0.29850050806999207,0.2757743000984192,0.09970764070749283,0.24309562146663666
french,0.14884154498577118,0.2158181369304657,0.2187703251838684,0.1584041714668274,0.4545980989933014,0.15182553231716156,0.1713797152042389,0.1674000471830368,0.49428945779800415,0.1386883556842804
forces,0.17453457415103912,0.20333386957645416,0.22818003594875336,0.13164828717708588,0.20905645191669464,0.22503747045993805,0.2581802308559418,0.32788577675819397,0.2149192839860916,0.16984491050243378
under,0.23006081581115723,0.21268652379512787,0.2224593609571457,0.20815621316432953,0.1755814105272293,0.09085841476917267,0.27177539467811584,0.23787756264209747,0.15562288463115692,0.18233340978622437
claude-pierre,0.15414194762706757,0.18267959356307983,0.11263123154640198,0.16785882413387299,0.5302174687385559,0.14229801297187805,0.200149267911911,0.12369338423013687,0.8067766427993774,0.22482125461101532
pecaudy,0.26065701246261597,0.2577671408653259,0.21570424735546112,0.2441161870956421,0.37991416454315186,0.17495791614055634,0.3153799772262573,0.24615319073200226,0.2872855067253113,0.27154219150543213
de,0.10241838544607162,0.22097930312156677,0.08603078871965408,0.09745011478662491,0.48764848709106445,0.09929509460926056,0.15903331339359283,0.10840202867984772,0.396771103143692,0.11064168810844421
contrecœur,0.1565691977739334,0.16769716143608093,0.24519164860248566,0.21986831724643707,0.512331485748291,0.182150736451149,0.18628373742103577,0.21274434030056,0.46013784408569336,0.1922028660774231
to,0.44169697165489197,0.40243685245513916,0.24045762419700623,0.4452643394470215,0.22050736844539642,0.3854542672634125,1.0,0.3280513286590576,0.20305363833904266,0.29463258385658264
