,what,led,to,newcastle,'s,fall,from,power,as,military,advisor,?
the,0.42745697498321533,0.3267505168914795,0.535392165184021,0.2253497689962387,-0.01540423184633255,0.3639753758907318,0.40150508284568787,0.2647338807582855,0.48381632566452026,0.2290858030319214,0.17215700447559357,0.22068053483963013
british,0.19255435466766357,0.19917839765548706,0.22690963745117188,0.2082098126411438,0.06352180242538452,0.15587486326694489,0.21991202235221863,0.16342106461524963,0.23103800415992737,0.25965484976768494,0.16478374600410461,0.09711728990077972
failures,0.2595078647136688,0.25608864426612854,0.311136931180954,0.17325545847415924,0.08194644749164581,0.2198244333267212,0.20629477500915527,0.2813147306442261,0.1749298870563507,0.21213383972644806,0.15780843794345856,0.12535488605499268
in,0.30808621644973755,0.2990247309207916,0.45010748505592346,0.19270820915699005,-0.037580832839012146,0.22958555817604065,0.4274188280105591,0.16666220128536224,0.3887844979763031,0.2402431070804596,0.12653444707393646,0.20430970191955566
north,0.18673177063465118,0.17305970191955566,0.2743184268474579,0.28581127524375916,0.06196961551904678,0.14923714101314545,0.3180590271949768,0.16308823227882385,0.22670356929302216,0.1860160529613495,0.1345738023519516,0.11829731613397598
america,0.2517423629760742,0.11462203413248062,0.2636699676513672,0.20610378682613373,0.04083184897899628,0.12950026988983154,0.1968681514263153,0.17659200727939606,0.22265762090682983,0.16090981662273407,0.13839511573314667,0.19333907961845398
",",0.3087472915649414,0.22548827528953552,0.44245919585227966,0.251589834690094,-0.0016132977325469255,0.31587862968444824,0.39760664105415344,0.2231994867324829,0.48816442489624023,0.2611614465713501,0.2135779857635498,0.31091248989105225
combined,0.21267308294773102,0.2667584717273712,0.24629315733909607,0.12041924893856049,0.05644876882433891,0.20145750045776367,0.20714597404003143,0.15045039355754852,0.20089338719844818,0.1467648148536682,0.08199531584978104,0.17985320091247559
with,0.2464839518070221,0.27114903926849365,0.4239959120750427,0.1710812896490097,-0.04624466598033905,0.181291401386261,0.26272761821746826,0.20798128843307495,0.40387406945228577,0.1677970141172409,0.12769097089767456,0.2433311939239502
other,0.341873437166214,0.22128096222877502,0.4193183183670044,0.1582431048154831,0.04445967823266983,0.20349520444869995,0.30141791701316833,0.20244340598583221,0.42805421352386475,0.19435478746891022,0.10170495510101318,0.24682199954986572
failures,0.2595078647136688,0.25608864426612854,0.311136931180954,0.17325545847415924,0.08194644749164581,0.2198244333267212,0.20629477500915527,0.2813147306442261,0.1749298870563507,0.21213383972644806,0.15780843794345856,0.12535488605499268
in,0.30808621644973755,0.2990247309207916,0.45010748505592346,0.19270820915699005,-0.037580832839012146,0.22958555817604065,0.4274188280105591,0.16666220128536224,0.3887844979763031,0.2402431070804596,0.12653444707393646,0.20430970191955566
the,0.42745697498321533,0.3267505168914795,0.535392165184021,0.2253497689962387,-0.01540423184633255,0.3639753758907318,0.40150508284568787,0.2647338807582855,0.48381632566452026,0.2290858030319214,0.17215700447559357,0.22068053483963013
european,0.15324164927005768,0.2244439274072647,0.21011990308761597,0.21749746799468994,0.08902547508478165,0.16169200837612152,0.2091801017522812,0.12864074110984802,0.20210161805152893,0.18682527542114258,0.1834069788455963,0.14560863375663757
theater,0.1395484209060669,0.18768474459648132,0.1754733920097351,0.08905921876430511,0.10415638238191605,0.21506842970848083,0.1358756572008133,0.06001271307468414,0.23118017613887787,0.22351287305355072,0.14642074704170227,0.12811817228794098
",",0.3087472915649414,0.22548827528953552,0.44245919585227966,0.251589834690094,-0.0016132977325469255,0.31587862968444824,0.39760664105415344,0.2231994867324829,0.48816442489624023,0.2611614465713501,0.2135779857635498,0.31091248989105225
led,0.12112844735383987,0.9999999403953552,0.21815308928489685,0.14872077107429504,-0.01628696173429489,0.22069206833839417,0.2455430030822754,0.22691363096237183,0.20535489916801453,0.26407262682914734,0.2246525138616562,0.09273858368396759
to,0.455847829580307,0.21815308928489685,1.0,0.23559264838695526,0.03782717138528824,0.1966593861579895,0.4069952368736267,0.27001675963401794,0.42092081904411316,0.2282337248325348,0.20777706801891327,0.29463258385658264
the,0.42745697498321533,0.3267505168914795,0.535392165184021,0.2253497689962387,-0.01540423184633255,0.3639753758907318,0.40150508284568787,0.2647338807582855,0.48381632566452026,0.2290858030319214,0.17215700447559357,0.22068053483963013
fall,0.26931828260421753,0.22069206833839417,0.1966593861579895,0.11168553680181503,-0.05826059728860855,1.0,0.29061755537986755,0.17789211869239807,0.19012849032878876,0.1449279934167862,0.07474949955940247,0.1656162142753601
from,0.2737620174884796,0.2455430030822754,0.4069952368736267,0.1747848093509674,-0.01936490088701248,0.29061755537986755,1.0,0.21385204792022705,0.3251767158508301,0.19967688620090485,0.10068636387586594,0.19969791173934937
power,0.22216427326202393,0.22691363096237183,0.27001675963401794,0.11260000616312027,0.05344679579138756,0.17789211869239807,0.21385204792022705,1.0000001192092896,0.20748355984687805,0.3317231833934784,0.24335356056690216,0.15304024517536163
of,0.33290785551071167,0.32918456196784973,0.41548454761505127,0.18781472742557526,-0.03817026689648628,0.2854328155517578,0.4249346852302551,0.25273123383522034,0.3886612355709076,0.27347031235694885,0.20297446846961975,0.1826142966747284
newcastle,0.16276082396507263,0.14872077107429504,0.23559264838695526,1.0000001192092896,-0.017262522131204605,0.11168553680181503,0.1747848093509674,0.11260000616312027,0.21526619791984558,0.12750741839408875,0.13172641396522522,0.0902252271771431
and,0.31309178471565247,0.2780643701553345,0.48971283435821533,0.20204751193523407,0.06895173341035843,0.25737735629081726,0.3601827025413513,0.27496716380119324,0.49487000703811646,0.2530125379562378,0.21706335246562958,0.20544172823429108
his,0.26976513862609863,0.30691808462142944,0.3715193271636963,0.21109630167484283,0.047556519508361816,0.22234342992305756,0.3195365369319916,0.20314614474773407,0.3146366477012634,0.2637975513935089,0.32337841391563416,0.18075084686279297
principal,0.1582305133342743,0.19247640669345856,0.21641375124454498,0.18495796620845795,-0.0006964532658457756,0.08908051997423172,0.15369051694869995,0.11889147013425827,0.32747477293014526,0.15027153491973877,0.26384487748146057,0.10016445070505142
military,0.18809624016284943,0.26407262682914734,0.2282337248325348,0.12750741839408875,0.0309983491897583,0.1449279934167862,0.19967688620090485,0.3317231833934784,0.1877383589744568,0.9999998807907104,0.26823848485946655,0.1890317052602768
advisor,0.1469605714082718,0.2246525138616562,0.20777706801891327,0.13172641396522522,-0.024858558550477028,0.07474949955940247,0.10068636387586594,0.24335356056690216,0.324125736951828,0.26823848485946655,1.0,0.0939842164516449
",",0.3087472915649414,0.22548827528953552,0.44245919585227966,0.251589834690094,-0.0016132977325469255,0.31587862968444824,0.39760664105415344,0.2231994867324829,0.48816442489624023,0.2611614465713501,0.2135779857635498,0.31091248989105225
the,0.42745697498321533,0.3267505168914795,0.535392165184021,0.2253497689962387,-0.01540423184633255,0.3639753758907318,0.40150508284568787,0.2647338807582855,0.48381632566452026,0.2290858030319214,0.17215700447559357,0.22068053483963013
duke,0.0933435782790184,0.17956583201885223,0.22493401169776917,0.3003217875957489,-0.09903083741664886,0.16436028480529785,0.14459073543548584,0.10600466281175613,0.14334118366241455,0.14128223061561584,0.14585760235786438,0.13699419796466827
of,0.33290785551071167,0.32918456196784973,0.41548454761505127,0.18781472742557526,-0.03817026689648628,0.2854328155517578,0.4249346852302551,0.25273123383522034,0.3886612355709076,0.27347031235694885,0.20297446846961975,0.1826142966747284
cumberland,0.17270326614379883,0.20075592398643494,0.1902357041835785,0.40560969710350037,0.004718618001788855,0.22203867137432098,0.1950162649154663,0.15462684631347656,0.24371373653411865,0.19189681112766266,0.10109446942806244,0.10304500162601471
.,0.3567904531955719,0.19335708022117615,0.4645031690597534,0.2714749276638031,-0.003708066651597619,0.2718521058559418,0.41536515951156616,0.2141435295343399,0.515582263469696,0.21794499456882477,0.1372259110212326,0.4130953550338745
