,pitt,'s,plan,called,for,what,attacks,?
pitt,1.0000001192092896,0.013819952495396137,0.05464250221848488,0.15235120058059692,0.18541596829891205,0.15178920328617096,0.09705742448568344,0.13721784949302673
's,0.013819952495396137,0.9999999403953552,0.014385199174284935,-0.021773243322968483,-0.07241261005401611,0.02692362666130066,-0.05427505820989609,-0.023395681753754616
plan,0.05464250221848488,0.014385199174284935,1.0,0.19853931665420532,0.22760893404483795,0.2947953939437866,0.2259524017572403,0.1961054503917694
called,0.15235120058059692,-0.021773243322968483,0.19853931665420532,1.0,0.29870352149009705,0.3235960602760315,0.18051108717918396,0.18963319063186646
for,0.18541596829891205,-0.07241261005401611,0.22760893404483795,0.29870352149009705,0.9999999403953552,0.3017193675041199,0.21289865672588348,0.264628142118454
three,0.14082899689674377,0.03946888819336891,0.20880171656608582,0.3522195518016815,0.3032672107219696,0.24888746440410614,0.21049045026302338,0.20928427577018738
major,0.13275650143623352,-0.010959804058074951,0.13547688722610474,0.2365456223487854,0.23592928051948547,0.21026742458343506,0.11379016935825348,0.19788557291030884
offensive,0.18205058574676514,-0.016033265739679337,0.19001124799251556,0.13434182107448578,0.28388088941574097,0.24954649806022644,0.31756487488746643,0.20278584957122803
actions,0.07821980863809586,-0.019457440823316574,0.22300678491592407,0.16528703272342682,0.2653684914112091,0.39243605732917786,0.345589816570282,0.2841099798679352
involving,0.06970586627721786,-0.02785157598555088,0.21442414820194244,0.31222257018089294,0.26007816195487976,0.22227725386619568,0.26153162121772766,0.19034086167812347
large,0.14243601262569427,0.06319566071033478,0.20553863048553467,0.3623717129230499,0.22967137396335602,0.2017821967601776,0.20530609786510468,0.1355665624141693
numbers,0.0854555293917656,0.02789759822189808,0.2174624800682068,0.2276071459054947,0.2885598838329315,0.24586999416351318,0.14763230085372925,0.19297972321510315
of,0.21231579780578613,-0.03817026689648628,0.2742128372192383,0.4222904443740845,0.4185989499092102,0.33290785551071167,0.18891674280166626,0.1826142966747284
regular,0.09827321022748947,0.04493177309632301,0.15630973875522614,0.23143672943115234,0.3314341604709625,0.224887877702713,0.1411251574754715,0.18334713578224182
troops,0.08352381736040115,0.06779379397630692,0.2572103440761566,0.11889089643955231,0.1535932570695877,0.18311697244644165,0.3951811194419861,0.14329779148101807
",",0.2581561803817749,-0.0016132977325469255,0.21265573799610138,0.26549121737480164,0.4464869201183319,0.3087472915649414,0.25300389528274536,0.31091248989105225
supported,0.0953211560845375,-0.053373903036117554,0.23167788982391357,0.22826537489891052,0.32561784982681274,0.16402992606163025,0.19812136888504028,0.11593948304653168
by,0.14614497125148773,-0.010884488001465797,0.22663648426532745,0.3092815577983856,0.3248702883720398,0.2455483376979828,0.23744475841522217,0.17966607213020325
the,0.25984519720077515,-0.01540423184633255,0.2852855324745178,0.489897221326828,0.4739971458911896,0.42745697498321533,0.2845265567302704,0.22068053483963013
provincial,0.07559306919574738,0.030783694237470627,0.10981035232543945,0.2238532155752182,0.14573439955711365,0.16144120693206787,0.020876936614513397,0.11250471323728561
militias,0.12575556337833405,0.03063873015344143,0.29054543375968933,0.16628724336624146,0.2576225996017456,0.2370385080575943,0.32278797030448914,0.18957817554473877
",",0.2581561803817749,-0.0016132977325469255,0.21265573799610138,0.26549121737480164,0.4464869201183319,0.3087472915649414,0.25300389528274536,0.31091248989105225
aimed,0.17012907564640045,0.05958856642246246,0.31696492433547974,0.18411016464233398,0.19653503596782684,0.2549166977405548,0.22983422875404358,0.2069684863090515
at,0.1965748369693756,-0.08481216430664062,0.19810442626476288,0.23534239828586578,0.34237727522850037,0.2838611304759979,0.1818355917930603,0.21978627145290375
capturing,0.09700062870979309,-0.004737441893666983,0.2412737011909485,0.19707749783992767,0.2173416018486023,0.2118043303489685,0.41091614961624146,0.1290988177061081
the,0.25984519720077515,-0.01540423184633255,0.2852855324745178,0.489897221326828,0.4739971458911896,0.42745697498321533,0.2845265567302704,0.22068053483963013
heartlands,0.25151073932647705,0.13399574160575867,0.13147608935832977,0.31314602494239807,0.24843527376651764,0.16851069033145905,0.2673806846141815,0.11536221206188202
of,0.21231579780578613,-0.03817026689648628,0.2742128372192383,0.4222904443740845,0.4185989499092102,0.33290785551071167,0.18891674280166626,0.1826142966747284
new,0.19386398792266846,-0.008355522528290749,0.23829928040504456,0.2586444020271301,0.2700757384300232,0.2130378633737564,0.16885830461978912,0.14782847464084625
france,0.29252171516418457,0.024341266602277756,0.2156764268875122,0.1885128766298294,0.21557466685771942,0.17793065309524536,0.2143908441066742,0.15069349110126495
.,0.23156610131263733,-0.003708066651597619,0.2966235876083374,0.300344854593277,0.4726039469242096,0.3567904531955719,0.295037180185318,0.4130953550338745
