,what,concept,did,philosophers,in,antiquity,use,to,study,simple,machines,?
philosophers,0.34606775641441345,0.36311075091362,0.23326945304870605,1.0,0.22073392570018768,0.35685184597969055,0.20715193450450897,0.24979367852210999,0.31911930441856384,0.24941961467266083,0.2649449110031128,0.20820924639701843
in,0.30808621644973755,0.21857000887393951,0.2593238651752472,0.22073392570018768,1.0,0.24686646461486816,0.2715643048286438,0.45010748505592346,0.2875489294528961,0.18105459213256836,0.2209317833185196,0.20430970191955566
antiquity,0.1817406713962555,0.2605839967727661,0.10318449884653091,0.35685184597969055,0.24686646461486816,1.0,0.23065954446792603,0.15340429544448853,0.2491304725408554,0.16670449078083038,0.20226873457431793,0.16758611798286438
used,0.27546408772468567,0.26928189396858215,0.30443844199180603,0.20210914313793182,0.3090210556983948,0.3003346621990204,0.7127541303634644,0.40058770775794983,0.19124631583690643,0.3725593388080597,0.38918182253837585,0.22430120408535004
the,0.42745697498321533,0.2355310022830963,0.34736719727516174,0.21667663753032684,0.6662389636039734,0.3004048764705658,0.34342584013938904,0.535392165184021,0.2533665597438812,0.24738673865795135,0.22618883848190308,0.22068053483963013
concept,0.28724339604377747,0.9999998807907104,0.2316831350326538,0.36311075091362,0.21857000887393951,0.2605839967727661,0.2737145721912384,0.2465057224035263,0.25186941027641296,0.31572282314300537,0.2942776083946228,0.17160645127296448
of,0.33290785551071167,0.24082158505916595,0.2513895630836487,0.2105230838060379,0.5696388483047485,0.34980958700180054,0.2750902473926544,0.41548454761505127,0.29377859830856323,0.23205730319023132,0.18757474422454834,0.1826142966747284
force,0.16915984451770782,0.17681357264518738,0.1680130809545517,0.16480398178100586,0.21744468808174133,0.12304501980543137,0.20234666764736176,0.24496492743492126,0.17777232825756073,0.1519370824098587,0.15803414583206177,0.1650998443365097
in,0.30808621644973755,0.21857000887393951,0.2593238651752472,0.22073392570018768,1.0,0.24686646461486816,0.2715643048286438,0.45010748505592346,0.2875489294528961,0.18105459213256836,0.2209317833185196,0.20430970191955566
the,0.42745697498321533,0.2355310022830963,0.34736719727516174,0.21667663753032684,0.6662389636039734,0.3004048764705658,0.34342584013938904,0.535392165184021,0.2533665597438812,0.24738673865795135,0.22618883848190308,0.22068053483963013
study,0.3123835027217865,0.25186941027641296,0.21215762197971344,0.31911930441856384,0.2875489294528961,0.2491304725408554,0.20468193292617798,0.3326032757759094,1.0,0.24869804084300995,0.19811798632144928,0.15902167558670044
of,0.33290785551071167,0.24082158505916595,0.2513895630836487,0.2105230838060379,0.5696388483047485,0.34980958700180054,0.2750902473926544,0.41548454761505127,0.29377859830856323,0.23205730319023132,0.18757474422454834,0.1826142966747284
