,what,equation,desribed,the,physics,of,force,before,the,current,schrodinger,equation,?
the,0.42745697498321533,0.2096533477306366,0.3252376914024353,1.0,0.17952929437160492,0.733189046382904,0.2800885736942291,0.45900648832321167,1.0,0.3314409554004669,0.24251551926136017,0.2096533477306366,0.22068053483963013
notion,0.3655226528644562,0.4410538077354431,0.22751402854919434,0.23529204726219177,0.3787100315093994,0.23985852301120758,0.2059972882270813,0.19376929104328156,0.23529204726219177,0.1506868302822113,0.33407115936279297,0.4410538077354431,0.20487375557422638
``,0.008517155423760414,0.17524345219135284,0.16557128727436066,0.029072100296616554,0.03193385526537895,0.06780257821083069,0.08451810479164124,0.0842912346124649,0.029072100296616554,0.029208213090896606,0.005190805997699499,0.17524345219135284,0.0685480609536171
force,0.16915984451770782,0.2695007920265198,0.1959281861782074,0.2800885736942291,0.29059725999832153,0.27094775438308716,1.0000001192092896,0.11280379444360733,0.2800885736942291,0.18067717552185059,0.1960548311471939,0.2695007920265198,0.1650998443365097
'',0.08143015950918198,0.04228679835796356,-0.004816832952201366,0.041273195296525955,0.007329173386096954,0.13035868108272552,-0.09640523791313171,-0.07730459421873093,0.041273195296525955,0.06705592572689056,-0.01873696967959404,0.04228679835796356,0.018684765323996544
keeps,0.21853329241275787,0.20894375443458557,0.16449026763439178,0.26333102583885193,0.12264840304851532,0.24374237656593323,0.15337827801704407,0.21031656861305237,0.26333102583885193,0.16267144680023193,0.17982372641563416,0.20894375443458557,0.21800975501537323
its,0.30393704771995544,0.16140151023864746,0.14954331517219543,0.559237003326416,0.13397902250289917,0.48690423369407654,0.2075270563364029,0.2706633508205414,0.559237003326416,0.25326231122016907,0.20820584893226624,0.16140151023864746,0.15103481709957123
meaning,0.24135559797286987,0.19336655735969543,0.1884220987558365,0.31918859481811523,0.1222742572426796,0.2447882443666458,0.1733345091342926,0.24880780279636383,0.31918859481811523,0.13153313100337982,0.12368547916412354,0.19336655735969543,0.20420892536640167
in,0.30808621644973755,0.17716364562511444,0.2510984539985657,0.6662389636039734,0.2189493626356125,0.5696388483047485,0.21744468808174133,0.4155850410461426,0.6662389636039734,0.1955713927745819,0.2875301241874695,0.17716364562511444,0.20430970191955566
quantum,0.3095471262931824,0.5140936970710754,0.12881632149219513,0.21868084371089935,0.5938736200332642,0.24717314541339874,0.30381885170936584,0.16927403211593628,0.21868084371089935,0.20447134971618652,0.43875959515571594,0.5140936970710754,0.20770002901554108
mechanics,0.3135516941547394,0.5361484885215759,0.07837005704641342,0.25626060366630554,0.6208994388580322,0.27608323097229004,0.2976546287536621,0.20422141253948212,0.25626060366630554,0.14066125452518463,0.33578720688819885,0.5361484885215759,0.15634238719940186
",",0.3087472915649414,0.20465685427188873,0.38809970021247864,0.4933079481124878,0.26689431071281433,0.4946078956127167,0.22091743350028992,0.3156566619873047,0.4933079481124878,0.29341426491737366,0.38805103302001953,0.20465685427188873,0.31091248989105225
though,0.4089210331439972,0.13390494883060455,0.3026454746723175,0.38776206970214844,0.1864168643951416,0.37307101488113403,0.1659330129623413,0.35859712958335876,0.38776206970214844,0.18963709473609924,0.2785906195640564,0.13390494883060455,0.3188856542110443
one,0.376489520072937,0.2623479664325714,0.3158358037471771,0.5514441132545471,0.17036068439483643,0.4999135136604309,0.23989498615264893,0.34520307183265686,0.5514441132545471,0.28422072529792786,0.243880957365036,0.2623479664325714,0.2673267424106598
is,0.28837618231773376,0.2610480785369873,0.2177138477563858,0.5823672413825989,0.16058161854743958,0.4854315221309662,0.22036980092525482,0.25183290243148804,0.5823672413825989,0.2555285692214966,0.20439529418945312,0.2610480785369873,0.22961433231830597
now,0.4903225302696228,0.18140672147274017,0.22117005288600922,0.38266420364379883,0.16145509481430054,0.29182544350624084,0.14073489606380463,0.36188122630119324,0.38266420364379883,0.2849317789077759,0.21534542739391327,0.18140672147274017,0.29641881585121155
dealing,0.3540358245372772,0.24350310862064362,0.20332589745521545,0.30423152446746826,0.2597402036190033,0.3187740445137024,0.21070313453674316,0.2415042221546173,0.30423152446746826,0.23148886859416962,0.2343253791332245,0.24350310862064362,0.27334651350975037
with,0.2464839518070221,0.15095031261444092,0.19718416035175323,0.4223487675189972,0.1996603161096573,0.41827285289764404,0.15703244507312775,0.32654517889022827,0.4223487675189972,0.1750524342060089,0.27256903052330017,0.15095031261444092,0.2433311939239502
operators,0.24600493907928467,0.3198050260543823,0.09904427081346512,0.2580118775367737,0.23186983168125153,0.20075355470180511,0.2620830535888672,0.14455841481685638,0.2580118775367737,0.23292629420757294,0.17760635912418365,0.3198050260543823,0.15860143303871155
instead,0.4104403555393219,0.23251324892044067,0.17885459959506989,0.3940567970275879,0.12242229282855988,0.31208282709121704,0.1860058307647705,0.4460048973560333,0.3940567970275879,0.1662917286157608,0.1997259557247162,0.23251324892044067,0.2942638397216797
of,0.33290785551071167,0.18257875740528107,0.28742191195487976,0.733189046382904,0.2395489662885666,1.0,0.27094775438308716,0.3282964527606964,0.733189046382904,0.31470298767089844,0.24432553350925446,0.18257875740528107,0.1826142966747284
classical,0.22816240787506104,0.2686852812767029,0.2505321502685547,0.20384269952774048,0.3325905203819275,0.2391258031129837,0.1287761926651001,0.14291362464427948,0.20384269952774048,0.1454290747642517,0.3545439839363098,0.2686852812767029,0.18862907588481903
variables,0.24388675391674042,0.5571995973587036,0.14835870265960693,0.1977231651544571,0.3083088994026184,0.197788804769516,0.18889755010604858,0.18771888315677643,0.1977231651544571,0.24764837324619293,0.253473162651062,0.5571995973587036,0.2210804969072342
and,0.31309178471565247,0.15037484467029572,0.31820470094680786,0.5171257257461548,0.14552804827690125,0.5116966962814331,0.24372100830078125,0.3518902659416199,0.5171257257461548,0.23919939994812012,0.2983173429965973,0.15037484467029572,0.20544172823429108
though,0.4089210331439972,0.13390494883060455,0.3026454746723175,0.38776206970214844,0.1864168643951416,0.37307101488113403,0.1659330129623413,0.35859712958335876,0.38776206970214844,0.18963709473609924,0.2785906195640564,0.13390494883060455,0.3188856542110443
