,what,theory,accounted,for,the,mercury,problem,?
when,0.4700249433517456,0.20727984607219696,0.18093274533748627,0.43402108550071716,0.5091903209686279,0.26715049147605896,0.35051244497299194,0.22841128706932068
albert,0.16012011468410492,0.22353531420230865,0.007928903214633465,0.19380667805671692,0.17599669098854065,0.09769975394010544,0.14241547882556915,0.15350762009620667
einstein,0.2901903986930847,0.448373407125473,0.1510200798511505,0.2050284594297409,0.17706423997879028,0.20506712794303894,0.24673990905284882,0.2118137627840042
formulated,0.24279600381851196,0.4175911843776703,0.4116482436656952,0.2506081163883209,0.2888638973236084,0.168211430311203,0.36594247817993164,0.17216148972511292
his,0.26976513862609863,0.2209872305393219,0.22014778852462769,0.39312878251075745,0.4394008219242096,0.13861365616321564,0.17596246302127838,0.18075084686279297
theory,0.297923743724823,0.9999999403953552,0.27939194440841675,0.20500218868255615,0.2277156263589859,0.18622171878814697,0.32978713512420654,0.1387292891740799
of,0.33290785551071167,0.23506702482700348,0.2735593020915985,0.4185989499092102,0.733189046382904,0.19711527228355408,0.20464475452899933,0.1826142966747284
general,0.24928055703639984,0.23614253103733063,0.16734863817691803,0.23497237265110016,0.28634732961654663,0.1334991753101349,0.21629959344863892,0.1972234547138214
relativity,0.2980750799179077,0.5565682053565979,0.22062630951404572,0.1981007605791092,0.20282858610153198,0.2489081770181656,0.34640058875083923,0.26250147819519043
(,0.2411840260028839,0.15548324584960938,0.1696872115135193,0.3357032239437103,0.33289089798927307,0.19685211777687073,0.1944350153207779,0.40561532974243164
gr,0.04870706796646118,0.13047735393047333,0.10735519975423813,0.13503438234329224,0.19362017512321472,0.13479501008987427,0.07233253121376038,0.20753049850463867
),0.26259949803352356,0.1646711826324463,0.16969570517539978,0.3639558255672455,0.3456730246543884,0.1948368102312088,0.20261481404304504,0.42300865054130554
he,0.3114890456199646,0.20341786742210388,0.18593807518482208,0.4540175199508667,0.4571082592010498,0.17591021955013275,0.18912115693092346,0.2089974731206894
turned,0.22427117824554443,0.13553328812122345,0.22202594578266144,0.24899277091026306,0.3414173722267151,0.1517849564552307,0.1977623999118805,0.130948007106781
his,0.26976513862609863,0.2209872305393219,0.22014778852462769,0.39312878251075745,0.4394008219242096,0.13861365616321564,0.17596246302127838,0.18075084686279297
attention,0.3020271062850952,0.21174673736095428,0.2651667594909668,0.27515074610710144,0.256243497133255,0.15040023624897003,0.2889305055141449,0.19994445145130157
to,0.455847829580307,0.21947365999221802,0.22854191064834595,0.4451248347759247,0.535392165184021,0.282574325799942,0.2502208352088928,0.29463258385658264
the,0.42745697498321533,0.2277156263589859,0.2786780297756195,0.4739971458911896,1.0,0.2059478461742401,0.24928659200668335,0.22068053483963013
problem,0.42183366417884827,0.32978713512420654,0.31642603874206543,0.2661307752132416,0.24928659200668335,0.148489311337471,1.0,0.3762950301170349
of,0.33290785551071167,0.23506702482700348,0.2735593020915985,0.4185989499092102,0.733189046382904,0.19711527228355408,0.20464475452899933,0.1826142966747284
mercury,0.15752404928207397,0.18622171878814697,0.07954854518175125,0.21691371500492096,0.2059478461742401,1.0000001192092896,0.148489311337471,0.10977116972208023
's,0.02692362666130066,-0.0025054612196981907,0.05056019499897957,-0.07241261005401611,-0.01540423184633255,-0.06901101022958755,-0.02317415177822113,-0.023395681753754616
orbit,0.19471463561058044,0.2494249790906906,0.14171305298805237,0.16374921798706055,0.1565481424331665,0.32883888483047485,0.18421262502670288,0.16621392965316772
and,0.31309178471565247,0.1765792816877365,0.23419056832790375,0.5064792633056641,0.5171257257461548,0.20320454239845276,0.24328261613845825,0.20544172823429108
found,0.1796332150697708,0.14530161023139954,0.21534685790538788,0.19707661867141724,0.3452354073524475,0.21073639392852783,0.20584961771965027,0.16790300607681274
that,0.6297725439071655,0.36183905601501465,0.3668058514595032,0.4137635827064514,0.5473989248275757,0.2205929309129715,0.4416671693325043,0.32716336846351624
his,0.26976513862609863,0.2209872305393219,0.22014778852462769,0.39312878251075745,0.4394008219242096,0.13861365616321564,0.17596246302127838,0.18075084686279297
theory,0.297923743724823,0.9999999403953552,0.27939194440841675,0.20500218868255615,0.2277156263589859,0.18622171878814697,0.32978713512420654,0.1387292891740799
added,0.23789235949516296,0.1107221320271492,0.22277286648750305,0.28443121910095215,0.3207796514034271,0.22596032917499542,0.22218768298625946,0.2865637540817261
a,0.3320399522781372,0.2233850657939911,0.16009406745433807,0.44038116931915283,0.5829201340675354,0.25249192118644714,0.2605542540550232,0.23916715383529663
correction,0.3259861469268799,0.3430864214897156,0.26264479756355286,0.3487917184829712,0.2750626504421234,0.22069761157035828,0.4081547260284424,0.2516542971134186
",",0.3087472915649414,0.18095813691616058,0.26277756690979004,0.4464869201183319,0.4933079481124878,0.24557945132255554,0.23938199877738953,0.31091248989105225
which,0.5261979103088379,0.3127335011959076,0.31033197045326233,0.44095608592033386,0.6521818041801453,0.25238439440727234,0.309948593378067,0.25814583897590637
could,0.4188697934150696,0.2552470564842224,0.2757411301136017,0.3405117690563202,0.35393214225769043,0.2039705365896225,0.3574857711791992,0.3411986827850342
account,0.27991923689842224,0.2591670751571655,0.7513386011123657,0.25532788038253784,0.21117976307868958,0.06848160922527313,0.35397982597351074,0.34417325258255005
for,0.3017193675041199,0.20500218868255615,0.27571922540664673,0.9999999403953552,0.4739971458911896,0.21691371500492096,0.2661307752132416,0.264628142118454
the,0.42745697498321533,0.2277156263589859,0.2786780297756195,0.4739971458911896,1.0,0.2059478461742401,0.24928659200668335,0.22068053483963013
discrepancy,0.36176151037216187,0.4063078761100769,0.34079089760780334,0.2091279923915863,0.24351932108402252,0.1810435801744461,0.3397866189479828,0.2749764025211334
.,0.3567904531955719,0.18047811090946198,0.20356956124305725,0.4726039469242096,0.5934505462646484,0.22198538482189178,0.22562150657176971,0.4130953550338745
