,who,first,fully,explained,the,origins,of,magnetic,and,electric,fields,?
the,0.3733934462070465,0.49448907375335693,0.2750830352306366,0.2738569974899292,1.0,0.2890577018260956,0.733189046382904,0.18611927330493927,0.5171257257461548,0.21345196664333344,0.16397054493427277,0.22068053483963013
origin,0.12741360068321228,0.2580423951148987,0.13191772997379303,0.21141168475151062,0.24161343276500702,0.6893133521080017,0.23941168189048767,0.14061827957630157,0.18243800103664398,0.1153140664100647,0.10565318912267685,0.12716172635555267
of,0.2827862501144409,0.3536086082458496,0.1846403181552887,0.24962453544139862,0.733189046382904,0.2670811712741852,1.0,0.16237565875053406,0.5116966962814331,0.17329032719135284,0.19633589684963226,0.1826142966747284
electric,0.19416284561157227,0.2202359288930893,0.14952421188354492,0.1346714049577713,0.21345196664333344,0.04050585255026817,0.17329032719135284,0.4703453481197357,0.212884783744812,1.0000001192092896,0.2666083574295044,0.15674720704555511
and,0.41279885172843933,0.3167642652988434,0.23881065845489502,0.2517392039299011,0.5171257257461548,0.21966230869293213,0.5116966962814331,0.1990627944469452,1.0,0.212884783744812,0.3074205219745636,0.20544172823429108
magnetic,0.0936945229768753,0.1347680538892746,0.1379435658454895,0.2422599345445633,0.18611927330493927,0.11857862770557404,0.16237565875053406,1.0,0.1990627944469452,0.4703453481197357,0.3865538239479065,0.10858146101236343
fields,0.16465042531490326,0.11480147391557693,0.1451406031847,0.219614177942276,0.16397054493427277,0.09580710530281067,0.19633589684963226,0.3865538239479065,0.3074205219745636,0.2666083574295044,0.9999999403953552,0.1411406248807907
would,0.3632977604866028,0.2882738411426544,0.3284921944141388,0.38764986395835876,0.4133751392364502,0.1473173201084137,0.3353942930698395,0.20847190916538239,0.34921059012413025,0.18745185434818268,0.1823168396949768,0.37178951501846313
not,0.369414746761322,0.2955942749977112,0.41931772232055664,0.3666614294052124,0.4310511648654938,0.16308988630771637,0.3307090103626251,0.20763549208641052,0.39099299907684326,0.15085411071777344,0.23707135021686554,0.41942933201789856
be,0.3371641933917999,0.29818081855773926,0.3682824671268463,0.3688352108001709,0.4248143136501312,0.1419059932231903,0.33904364705085754,0.2283020317554474,0.41766801476478577,0.2143908590078354,0.25505945086479187,0.3324260413646698
fully,0.2663757801055908,0.2663617730140686,0.9999998807907104,0.2571171224117279,0.2750830352306366,0.1813020557165146,0.1846403181552887,0.1379435658454895,0.23881065845489502,0.14952421188354492,0.1451406031847,0.2089291661977768
explained,0.23929327726364136,0.18772874772548676,0.2571171224117279,1.0,0.2738569974899292,0.26955434679985046,0.24962453544139862,0.2422599345445633,0.2517392039299011,0.1346714049577713,0.219614177942276,0.31240519881248474
until,0.2530071437358856,0.3975810110569,0.2848132252693176,0.21299463510513306,0.37191009521484375,0.1157500371336937,0.2787701487541199,0.13995230197906494,0.3372601866722107,0.14820946753025055,0.09111637622117996,0.20304496586322784
1864,0.052526604384183884,0.05120427533984184,0.11367609351873398,0.039587896317243576,0.08191413432359695,-0.0531170479953289,-0.032037075608968735,0.1012376919388771,0.03566472604870796,0.13782638311386108,0.017989903688430786,0.1412568986415863
when,0.48282691836357117,0.4282494783401489,0.37046515941619873,0.31225118041038513,0.5091903209686279,0.11178483814001083,0.3757161796092987,0.1933620721101761,0.4716290831565857,0.25490424036979675,0.18777702748775482,0.22841128706932068
james,0.2562035918235779,0.2605716586112976,0.08282738924026489,0.19664409756660461,0.22481533885002136,0.14226894080638885,0.18323110044002533,0.2097909152507782,0.21273121237754822,0.21320907771587372,0.15588264167308807,0.12139993160963058
clerk,0.28553780913352966,0.23995383083820343,0.1464284211397171,0.22135065495967865,0.2240356057882309,0.11984492093324661,0.2312532216310501,0.177001953125,0.24555973708629608,0.21263624727725983,0.17988824844360352,0.13886231184005737
maxwell,0.18373645842075348,0.1980140656232834,0.1170526072382927,0.24150939285755157,0.17684456706047058,0.14718027412891388,0.1715129315853119,0.3904406428337097,0.21700043976306915,0.31220003962516785,0.323249876499176,0.14406277239322662
unified,0.141309916973114,0.2614094316959381,0.21084967255592346,0.20018428564071655,0.29028576612472534,0.2439601570367813,0.311408132314682,0.14561428129673004,0.23243655264377594,0.11056619137525558,0.21488089859485626,0.21746130287647247
a,0.36608949303627014,0.4287874400615692,0.25668543577194214,0.24080877006053925,0.5829201340675354,0.1583317220211029,0.5052502155303955,0.19198331236839294,0.3739250600337982,0.24061402678489685,0.1733706295490265,0.23916715383529663
number,0.21304799616336823,0.28294017910957336,0.19056473672389984,0.2049185335636139,0.35145696997642517,0.13386772572994232,0.2778518795967102,0.17269423604011536,0.28545793890953064,0.14498087763786316,0.1537146270275116,0.19256845116615295
of,0.2827862501144409,0.3536086082458496,0.1846403181552887,0.24962453544139862,0.733189046382904,0.2670811712741852,1.0,0.16237565875053406,0.5116966962814331,0.17329032719135284,0.19633589684963226,0.1826142966747284
