,what,causes,pauli,repulsion,?
when,0.4700249433517456,0.29580047726631165,0.1881372034549713,0.24686403572559357,0.22841128706932068
their,0.35142919421195984,0.19398713111877441,0.16984142363071442,0.26499173045158386,0.1898253709077835
electron,0.22967670857906342,0.19088733196258545,0.3856496810913086,0.36356499791145325,0.18293288350105286
clouds,0.19086459279060364,0.23639839887619019,0.2194349765777588,0.18643106520175934,0.11987434327602386
overlap,0.27287745475769043,0.19250890612602234,0.18000106513500214,0.16404534876346588,0.2450070083141327
",",0.3087472915649414,0.3057606518268585,0.2810521125793457,0.19331276416778564,0.31091248989105225
pauli,0.1464306265115738,0.09396637231111526,1.0000001192092896,0.202056422829628,0.11045613139867783
repulsion,0.23687821626663208,0.2524726092815399,0.202056422829628,1.0000001192092896,0.11726266890764236
(,0.2411840260028839,0.2564166188240051,0.23212075233459473,0.18735752999782562,0.40561532974243164
due,0.15204688906669617,0.3472176492214203,0.11240414530038834,0.2014084756374359,0.10954997688531876
to,0.455847829580307,0.2537674903869629,0.20898248255252838,0.2515600919723511,0.29463258385658264
fermionic,0.2782229781150818,0.2459743618965149,0.47874197363853455,0.33053654432296753,0.22978898882865906
nature,0.2566179633140564,0.25400474667549133,0.19194070994853973,0.22913439571857452,0.17397694289684296
of,0.33290785551071167,0.2544642984867096,0.21466727554798126,0.21611708402633667,0.1826142966747284
electrons,0.23107858002185822,0.23819349706172943,0.3993469178676605,0.3790490925312042,0.15516111254692078
),0.26259949803352356,0.22588849067687988,0.25015807151794434,0.16933810710906982,0.42300865054130554
follows,0.28637656569480896,0.2543163001537323,0.14037679135799408,0.1286102682352066,0.16897420585155487
resulting,0.17960047721862793,0.4737411141395569,0.11517894268035889,0.30840301513671875,0.10813049972057343
in,0.30808621644973755,0.2674790024757385,0.2356177568435669,0.19187712669372559,0.20430970191955566
the,0.42745697498321533,0.2518732249736786,0.23044893145561218,0.2441996932029724,0.22068053483963013
force,0.16915984451770782,0.2366199642419815,0.24479366838932037,0.42773744463920593,0.1650998443365097
that,0.6297725439071655,0.2422942817211151,0.19856297969818115,0.24537332355976105,0.32716336846351624
acts,0.24949195981025696,0.20308057963848114,0.2011917382478714,0.2805219888687134,0.07075770199298859
in,0.30808621644973755,0.2674790024757385,0.2356177568435669,0.19187712669372559,0.20430970191955566
a,0.3320399522781372,0.27698835730552673,0.20015431940555573,0.21920406818389893,0.23916715383529663
direction,0.25776705145835876,0.16992101073265076,0.20042484998703003,0.28349483013153076,0.10739318281412125
normal,0.32813265919685364,0.2564775049686432,0.1032574325799942,0.23790627717971802,0.19617988169193268
to,0.455847829580307,0.2537674903869629,0.20898248255252838,0.2515600919723511,0.29463258385658264
the,0.42745697498321533,0.2518732249736786,0.23044893145561218,0.2441996932029724,0.22068053483963013
surface,0.23580394685268402,0.22211429476737976,0.20092666149139404,0.29928648471832275,0.14613434672355652
interface,0.24331238865852356,0.18953709304332733,0.1699475795030594,0.26298320293426514,0.2825547456741333
between,0.2462156116962433,0.2480984926223755,0.19977907836437225,0.24778631329536438,0.12887074053287506
two,0.23363454639911652,0.18610936403274536,0.22881297767162323,0.17116275429725647,0.19645625352859497
objects,0.24020016193389893,0.2712664306163788,0.14906391501426697,0.29293689131736755,0.15479016304016113
.,0.3567904531955719,0.26090872287750244,0.23922882974147797,0.20917493104934692,0.4130953550338745
